대분류,중분류,소분류,교육정도별(1),교육정도별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,절도범죄,소계,고등학교,졸업,27719,24202,24913,24609,27249,28854,29256,27260,27559,26710,23617,24649
소계,절도범죄,소계,대학(4년미만),재중,972,835,705,650,640,622,490,451,405,321,254,271
소계,절도범죄,소계,대학(4년미만),중퇴,551,524,556,545,594,572,564,586,612,503,422,407
소계,절도범죄,소계,대학(4년미만),졸업,2737,2697,2943,2917,3350,3520,3637,3509,3607,3342,2715,3128
소계,절도범죄,소계,대학(4년이상),재중,3467,3815,3308,3240,3471,3211,2856,2181,1980,1585,1189,1336
소계,절도범죄,소계,대학(4년이상),중퇴,1316,1365,1686,1670,1889,2199,2241,2043,2172,2006,1710,1774
소계,절도범죄,소계,대학(4년이상),졸업,5060,5032,5729,6236,6981,8218,8475,7682,7917,7874,7217,8343
소계,절도범죄,소계,대학원,소계,1160,-,-,-,-,-,-,-,-,-,-,-
소계,절도범죄,소계,대학원,재중,-,333,360,357,398,445,358,198,211,194,155,172
소계,절도범죄,소계,대학원,중퇴,-,115,139,136,167,182,159,105,94,108,92,120
소계,절도범죄,소계,대학원,졸업,-,569,663,740,827,932,933,705,866,819,811,899
소계,절도범죄,소계,기타,소계,4087,2348,1360,1325,1272,1396,1226,961,1087,1184,1319,1600
소계,절도범죄,소계,미상,소계,13442,9726,10764,10472,11395,12226,13071,12773,13862,13900,11783,13418
소계,폭력범죄,소계,불취학,소계,2447,2763,2628,2553,2710,2601,2154,2178,2047,1823,1528,1383
소계,폭력범죄,소계,초등학교,재중,54,57,9,20,29,40,25,36,27,23,25,30
소계,폭력범죄,소계,초등학교,중퇴,2988,3335,3215,3030,3293,3243,2921,2759,3040,2539,2330,2188
소계,폭력범죄,소계,초등학교,졸업,14790,15132,14630,13676,14114,13596,11926,11444,11156,10259,8908,8425
소계,폭력범죄,소계,중학교,재중,5944,8669,4261,3783,3058,3329,3569,3783,3594,3037,3090,4292
소계,폭력범죄,소계,중학교,중퇴,7253,8059,7220,6367,6422,6237,5517,5045,5115,4258,3851,3862
소계,폭력범죄,소계,중학교,졸업,22778,23342,23211,21415,21939,21720,20068,19510,19594,17626,15172,15202
소계,폭력범죄,소계,고등학교,재중,9356,14654,8446,7156,7412,7670,8526,6773,6142,5437,5566,5689
소계,폭력범죄,소계,고등학교,중퇴,13597,14053,12335,11427,12089,11979,11237,10832,10772,9306,8110,8400
소계,폭력범죄,소계,고등학교,졸업,119619,118712,108489,102418,102507,102483,97831,90939,91827,84926,76095,79055
소계,폭력범죄,소계,대학(4년미만),재중,2163,2235,1690,1566,1427,1350,1188,1269,1212,970,897,804
소계,폭력범죄,소계,대학(4년미만),중퇴,1632,1661,1671,1611,1698,1655,1412,1583,1631,1410,1188,1226
소계,폭력범죄,소계,대학(4년미만),졸업,11286,12164,12227,11694,12358,12267,11914,12178,12186,10919,9881,10491
소계,폭력범죄,소계,대학(4년이상),재중,8229,10202,8241,7686,7245,6830,6278,5577,5129,4594,4347,4283
소계,폭력범죄,소계,대학(4년이상),중퇴,5441,5912,6143,6236,6662,7169,6990,6720,6793,6363,5684,6171
소계,폭력범죄,소계,대학(4년이상),졸업,25487,27533,27299,26454,28219,29813,28120,27901,28172,26334,25060,26650
소계,폭력범죄,소계,대학원,소계,4667,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,소계,대학원,재중,-,1044,926,897,925,907,853,565,538,534,497,555
소계,폭력범죄,소계,대학원,중퇴,-,459,428,446,522,550,558,328,398,370,341,429
소계,폭력범죄,소계,대학원,졸업,-,3518,3502,3514,3774,4033,3879,3183,3521,3317,3383,3482
소계,폭력범죄,소계,기타,소계,14017,9710,5411,4920,4102,3876,3325,2930,3382,3428,3419,3722
소계,폭력범죄,소계,미상,소계,120294,117068,117931,121406,132218,139617,135220,133436,130285,116517,84857,88334
소계,폭력범죄,상해,불취학,소계,834,968,795,723,763,766,549,553,462,402,312,225
소계,폭력범죄,상해,초등학교,재중,10,6,2,4,3,8,6,5,5,5,6,5
소계,폭력범죄,상해,초등학교,중퇴,1009,1071,955,846,867,901,775,631,685,539,410,419
소계,폭력범죄,상해,초등학교,졸업,4992,4969,4565,3975,3737,3832,3229,2777,2432,2179,1709,1508
소계,폭력범죄,상해,중학교,재중,602,593,394,368,353,487,498,551,529,318,389,585
소계,폭력범죄,상해,중학교,중퇴,1825,1899,1785,1555,1441,1600,1372,1147,1084,829,731,632
소계,폭력범죄,상해,중학교,졸업,7163,6967,6498,5775,5243,5790,4969,4485,4161,3562,2890,2619
소계,폭력범죄,상해,고등학교,재중,1350,1630,1170,1046,1221,1433,1555,1235,1018,823,766,875
소계,폭력범죄,상해,고등학교,중퇴,3484,3324,2892,2701,2501,3005,2569,2316,2120,1783,1536,1339
소계,폭력범죄,상해,고등학교,졸업,35345,33139,28987,25274,23262,24563,22540,19699,18238,16381,13421,12437
소계,폭력범죄,상해,대학(4년미만),재중,552,504,419,409,306,340,257,289,282,193,170,120
소계,폭력범죄,상해,대학(4년미만),중퇴,458,469,464,426,416,437,377,379,342,316,237,223
소계,폭력범죄,상해,대학(4년미만),졸업,3602,3657,3458,3186,3027,3151,2918,2637,2522,2170,1686,1613
소계,폭력범죄,상해,대학(4년이상),재중,2091,2322,2019,1836,1718,1574,1452,1199,1012,824,737,636
소계,폭력범죄,상해,대학(4년이상),중퇴,1581,1744,1680,1621,1609,1715,1562,1483,1353,1300,1003,962
소계,폭력범죄,상해,대학(4년이상),졸업,7505,7814,7379,6669,6269,6631,6046,5538,5171,4671,3971,3429
소계,폭력범죄,상해,대학원,소계,1428,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,상해,대학원,재중,-,280,244,231,234,203,173,108,85,95,78,98
소계,폭력범죄,상해,대학원,중퇴,-,141,117,96,110,115,123,56,73,67,49,46
소계,폭력범죄,상해,대학원,졸업,-,1079,988,966,870,890,777,583,590,534,477,414
소계,폭력범죄,상해,기타,소계,3989,2576,1294,1198,837,841,696,550,597,564,492,506
소계,폭력범죄,상해,미상,소계,11318,9698,9101,7980,7272,7413,6408,6646,6093,5997,4518,4507
소계,폭력범죄,폭행,불취학,소계,788,909,990,965,1044,1131,1061,1024,983,857,733,707
소계,폭력범죄,폭행,초등학교,재중,12,10,2,4,7,12,5,18,9,7,11,7
소계,폭력범죄,폭행,초등학교,중퇴,991,1124,1127,1136,1268,1486,1345,1392,1517,1218,1223,1118
소계,폭력범죄,폭행,초등학교,졸업,4946,5109,5113,5061,5542,6221,5631,5577,5466,5089,4512,4416
소계,폭력범죄,폭행,중학교,재중,371,1049,562,549,553,729,871,880,898,748,974,1441
소계,폭력범죄,폭행,중학교,중퇴,1872,2165,2207,2046,2255,2672,2382,2347,2374,1999,1867,1976
소계,폭력범죄,폭행,중학교,졸업,7124,7469,7808,7520,8531,9586,9346,9400,9583,8389,7447,7750
소계,폭력범죄,폭행,고등학교,재중,1107,2821,1665,1504,1902,2366,2632,2052,1886,1729,1958,1998
소계,폭력범죄,폭행,고등학교,중퇴,3452,3514,3499,3470,4096,4675,4622,4535,4576,4063,3561,3831
소계,폭력범죄,폭행,고등학교,졸업,36827,37596,36781,36500,40359,46435,45171,43367,44524,40382,37105,40497
소계,폭력범죄,폭행,대학(4년미만),재중,403,466,376,389,420,472,435,498,476,381,362,331
소계,폭력범죄,폭행,대학(4년미만),중퇴,461,439,482,475,609,653,591,699,763,607,531,589
소계,폭력범죄,폭행,대학(4년미만),졸업,3284,3628,3927,3958,4812,5350,5410,5774,5922,5241,4954,5597
소계,폭력범죄,폭행,대학(4년이상),재중,1706,2705,2048,2128,2237,2637,2528,2386,2268,2082,1863,1923
소계,폭력범죄,폭행,대학(4년이상),중퇴,1743,1847,2068,2160,2472,3210,3223,3216,3416,2989,2715,3284
소계,폭력범죄,폭행,대학(4년이상),졸업,8509,9349,9930,10087,12048,14169,13368,13815,14240,13093,12969,14794
소계,폭력범죄,폭행,대학원,소계,1538,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,폭행,대학원,재중,-,314,270,287,344,399,378,259,280,283,232,255
소계,폭력범죄,폭행,대학원,중퇴,-,144,162,165,223,257,265,175,209,163,158,234
소계,폭력범죄,폭행,대학원,졸업,-,1196,1267,1316,1597,1987,1965,1631,1829,1691,1797,1987
소계,폭력범죄,폭행,기타,소계,4198,3144,1848,1747,1724,1847,1639,1501,1750,1720,1768,1933
소계,폭력범죄,폭행,미상,소계,82450,82977,84205,89699,100265,110563,107877,104255,99741,85717,58894,61564
소계,폭력범죄,체포・감금,불취학,소계,7,2,3,5,4,2,6,9,1,5,4,6
소계,폭력범죄,체포・감금,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,체포・감금,초등학교,중퇴,1,2,5,6,4,7,12,4,4,6,5,7
소계,폭력범죄,체포・감금,초등학교,졸업,36,30,35,24,41,49,31,19,21,29,20,21
소계,폭력범죄,체포・감금,중학교,재중,2,3,-,1,4,11,20,12,18,14,14,13
소계,폭력범죄,체포・감금,중학교,중퇴,16,29,15,17,20,37,29,14,17,18,13,10
소계,폭력범죄,체포・감금,중학교,졸업,46,43,56,56,52,85,89,75,69,69,55,54
소계,폭력범죄,체포・감금,고등학교,재중,6,12,9,3,18,21,44,21,28,46,30,33
소계,폭력범죄,체포・감금,고등학교,중퇴,33,40,26,28,41,78,80,79,72,59,49,54
소계,폭력범죄,체포・감금,고등학교,졸업,239,278,281,276,280,432,500,410,429,412,421,396
소계,폭력범죄,체포・감금,대학(4년미만),재중,4,4,3,2,8,4,5,7,8,6,3,6
소계,폭력범죄,체포・감금,대학(4년미만),중퇴,4,3,2,5,14,13,13,11,4,13,16,8
소계,폭력범죄,체포・감금,대학(4년미만),졸업,24,38,34,28,38,63,42,48,53,49,42,42
소계,폭력범죄,체포・감금,대학(4년이상),재중,15,18,12,14,7,42,24,24,40,30,21,17
소계,폭력범죄,체포・감금,대학(4년이상),중퇴,14,17,13,14,20,42,45,41,19,33,35,39
소계,폭력범죄,체포・감금,대학(4년이상),졸업,63,87,91,71,79,138,169,109,99,122,129,115
소계,폭력범죄,체포・감금,대학원,소계,26,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,체포・감금,대학원,재중,-,2,2,-,7,4,4,3,4,1,2,9
소계,폭력범죄,체포・감금,대학원,중퇴,-,3,1,2,3,4,5,1,1,1,3,1
소계,폭력범죄,체포・감금,대학원,졸업,-,15,16,17,24,24,22,10,13,18,18,11
소계,폭력범죄,체포・감금,기타,소계,39,9,8,15,24,12,18,9,18,11,18,16
소계,폭력범죄,체포・감금,미상,소계,394,478,474,534,538,619,753,702,736,753,623,574
소계,폭력범죄,협박,불취학,소계,21,29,16,20,60,122,96,124,137,132,123,117
소계,폭력범죄,협박,초등학교,재중,-,1,-,-,1,2,-,-,-,1,2,1
소계,폭력범죄,협박,초등학교,중퇴,25,45,38,35,101,189,201,188,247,221,208,224
소계,폭력범죄,협박,초등학교,졸업,147,176,164,181,339,750,687,751,896,839,796,770
소계,폭력범죄,협박,중학교,재중,17,52,22,27,23,42,63,100,111,138,136,171
소계,폭력범죄,협박,중학교,중퇴,49,64,81,60,131,334,346,288,402,361,363,359
소계,폭력범죄,협박,중학교,졸업,191,244,258,250,512,1095,1088,1192,1357,1328,1330,1328
소계,폭력범죄,협박,고등학교,재중,28,82,45,50,71,131,165,187,177,232,249,271
소계,폭력범죄,협박,고등학교,중퇴,72,125,107,139,270,592,549,549,703,628,609,698
소계,폭력범죄,협박,고등학교,졸업,880,1139,1115,1170,2385,5048,4913,5144,6345,6205,6297,6464
소계,폭력범죄,협박,대학(4년미만),재중,6,6,5,3,15,27,35,40,44,36,35,37
소계,폭력범죄,협박,대학(4년미만),중퇴,14,16,15,18,36,87,53,87,119,106,101,110
소계,폭력범죄,협박,대학(4년미만),졸업,107,112,131,138,318,595,623,703,856,841,876,860
소계,폭력범죄,협박,대학(4년이상),재중,23,44,35,44,96,206,183,179,203,192,239,225
소계,폭력범죄,협박,대학(4년이상),중퇴,53,70,84,74,165,342,366,384,472,489,520,453
소계,폭력범죄,협박,대학(4년이상),졸업,272,362,356,392,776,1644,1612,1765,2024,2140,2263,2212
소계,폭력범죄,협박,대학원,소계,54,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,협박,대학원,재중,-,8,6,12,22,31,29,25,37,25,43,40
소계,폭력범죄,협박,대학원,중퇴,-,6,5,9,15,21,22,20,38,38,44,49
소계,폭력범죄,협박,대학원,졸업,-,54,76,75,137,219,201,233,299,312,320,313
소계,폭력범죄,협박,기타,소계,116,92,41,57,98,225,177,148,217,265,295,322
소계,폭력범죄,협박,미상,소계,1780,2005,2082,2406,3626,5123,5190,6230,7693,7978,7174,7427
소계,폭력범죄,약취・유인,불취학,소계,4,3,3,3,1,1,2,-,-,1,1,2
소계,폭력범죄,약취・유인,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,초등학교,중퇴,2,6,2,4,3,2,2,5,3,5,2,3
소계,폭력범죄,약취・유인,초등학교,졸업,14,8,9,10,9,12,6,6,14,6,5,8
소계,폭력범죄,약취・유인,중학교,재중,1,-,1,1,4,-,1,2,4,6,-,1
소계,폭력범죄,약취・유인,중학교,중퇴,10,15,4,9,10,8,5,6,7,-,5,3
소계,폭력범죄,약취・유인,중학교,졸업,18,19,11,14,16,12,16,21,12,14,12,12
소계,폭력범죄,약취・유인,고등학교,재중,3,1,10,1,1,1,8,3,2,6,4,8
소계,폭력범죄,약취・유인,고등학교,중퇴,16,13,12,8,11,9,11,10,20,4,9,11
소계,폭력범죄,약취・유인,고등학교,졸업,91,80,52,61,64,99,66,58,61,56,70,64
소계,폭력범죄,약취・유인,대학(4년미만),재중,5,2,1,2,1,1,2,-,-,-,2,-
소계,폭력범죄,약취・유인,대학(4년미만),중퇴,1,2,4,2,2,2,2,1,-,3,1,2
소계,폭력범죄,약취・유인,대학(4년미만),졸업,11,6,7,11,4,15,9,11,12,11,9,11
소계,폭력범죄,약취・유인,대학(4년이상),재중,5,3,3,5,1,1,8,1,3,4,4,4
소계,폭력범죄,약취・유인,대학(4년이상),중퇴,6,9,5,8,2,6,5,7,5,5,8,5
소계,폭력범죄,약취・유인,대학(4년이상),졸업,27,17,24,24,15,27,35,29,43,28,34,33
소계,폭력범죄,약취・유인,대학원,소계,3,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,대학원,재중,-,1,2,1,3,1,-,1,-,2,-,1
소계,폭력범죄,약취・유인,대학원,중퇴,-,-,2,-,-,-,-,1,-,-,1,1
소계,폭력범죄,약취・유인,대학원,졸업,-,1,6,3,4,6,9,5,12,5,11,4
소계,폭력범죄,약취・유인,기타,소계,16,3,2,6,2,3,2,1,6,4,34,3
소계,폭력범죄,약취・유인,미상,소계,107,81,100,79,99,99,96,92,147,136,106,145
소계,폭력범죄,폭력행위등,불취학,소계,474,537,479,460,469,147,90,92,69,61,47,35
소계,폭력범죄,폭력행위등,초등학교,재중,28,21,2,12,17,16,12,6,8,10,2,9
소계,폭력범죄,폭력행위등,초등학교,중퇴,601,688,669,614,623,194,116,87,81,71,62,45
소계,폭력범죄,폭력행위등,초등학교,졸업,3083,3157,3036,2704,2660,885,639,542,484,359,305,296
소계,폭력범죄,폭력행위등,중학교,재중,4394,5820,2788,2510,1806,1673,1733,1820,1569,1321,1133,1452
소계,폭력범죄,폭력행위등,중학교,중퇴,2627,2872,2285,1936,1791,739,587,465,445,338,227,251
소계,폭력범죄,폭력행위등,중학교,졸업,5918,6050,6053,5297,4978,2285,1842,1709,1549,1391,987,1076
소계,폭력범죄,폭력행위등,고등학교,재중,6193,8732,4916,4055,3691,3051,3326,2572,2329,1910,1868,1785
소계,폭력범죄,폭력행위등,고등학교,중퇴,5173,5484,4490,3836,3825,2190,1960,1817,1758,1277,1019,1154
소계,폭력범죄,폭력행위등,고등학교,졸업,34881,34585,30196,27445,24745,12870,11848,9830,8703,8185,6594,6780
소계,폭력범죄,폭력행위등,대학(4년미만),재중,1054,1131,770,609,544,381,326,296,277,237,197,194
소계,폭력범죄,폭력행위등,대학(4년미만),중퇴,558,580,557,491,438,257,217,182,167,142,126,112
소계,폭력범죄,폭력행위등,대학(4년미만),졸업,3101,3409,3276,2940,2620,1443,1256,1094,890,746,589,611
소계,폭력범죄,폭력행위등,대학(4년이상),재중,3828,4407,3437,2970,2445,1619,1358,1075,909,776,863,753
소계,폭력범죄,폭력행위등,대학(4년이상),중퇴,1547,1621,1651,1625,1543,964,819,654,541,506,415,459
소계,폭력범죄,폭력행위등,대학(4년이상),졸업,6136,6670,6266,5635,5312,2991,2592,2223,1815,1597,1310,1398
소계,폭력범죄,폭력행위등,대학원,소계,1086,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,폭력행위등,대학원,재중,-,346,313,268,201,158,132,79,51,45,62,53
소계,폭력범죄,폭력행위등,대학원,중퇴,-,115,104,116,106,76,53,32,20,26,19,29
소계,폭력범죄,폭력행위등,대학원,졸업,-,741,685,629,615,336,254,150,154,154,138,133
소계,폭력범죄,폭력행위등,기타,소계,4207,2851,1641,1323,967,444,329,311,296,313,247,319
소계,폭력범죄,폭력행위등,미상,소계,18534,16439,16244,14638,13606,8244,7158,6849,6510,5877,4316,4482
소계,폭력범죄,공갈,불취학,소계,7,9,14,12,2,13,3,11,6,2,3,3
소계,폭력범죄,공갈,초등학교,재중,1,4,2,-,-,-,-,3,3,-,-,2
소계,폭력범죄,공갈,초등학교,중퇴,21,27,18,24,21,20,15,8,8,7,6,6
소계,폭력범죄,공갈,초등학교,졸업,49,108,51,111,54,90,56,62,55,29,28,18
소계,폭력범죄,공갈,중학교,재중,480,1013,368,243,177,241,265,293,277,250,211,278
소계,폭력범죄,공갈,중학교,중퇴,280,333,178,141,102,111,66,73,69,55,41,33
소계,폭력범죄,공갈,중학교,졸업,195,260,149,231,172,249,170,134,148,153,121,100
소계,폭력범죄,공갈,고등학교,재중,444,1051,354,260,213,292,418,380,345,325,277,271
소계,폭력범죄,공갈,고등학교,중퇴,344,476,269,240,182,234,263,276,298,239,190,190
소계,폭력범죄,공갈,고등학교,졸업,629,972,634,965,681,862,800,696,698,674,559,531
소계,폭력범죄,공갈,대학(4년미만),재중,8,16,7,8,9,13,13,10,8,11,15,20
소계,폭력범죄,공갈,대학(4년미만),중퇴,9,14,10,19,19,23,13,18,13,15,12,7
소계,폭력범죄,공갈,대학(4년미만),졸업,64,68,45,84,59,65,71,65,85,68,68,46
소계,폭력범죄,공갈,대학(4년이상),재중,28,35,29,34,34,37,46,36,47,42,43,53
소계,폭력범죄,공갈,대학(4년이상),중퇴,37,44,40,63,49,84,62,48,55,54,52,33
소계,폭력범죄,공갈,대학(4년이상),졸업,119,166,156,215,182,191,209,159,180,208,192,175
소계,폭력범죄,공갈,대학원,소계,26,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,공갈,대학원,재중,-,3,2,1,8,8,6,5,2,5,3,12
소계,폭력범죄,공갈,대학원,중퇴,-,5,5,4,3,6,2,3,6,2,3,3
소계,폭력범죄,공갈,대학원,졸업,-,14,32,33,23,25,26,20,32,21,30,23
소계,폭력범죄,공갈,기타,소계,114,55,37,50,31,42,32,19,37,42,25,24
소계,폭력범죄,공갈,미상,소계,931,782,789,936,909,1032,1037,1202,1180,1232,896,926
소계,폭력범죄,손괴,불취학,소계,312,306,328,365,367,419,347,365,389,363,305,288
소계,폭력범죄,손괴,초등학교,재중,3,15,1,-,1,2,2,4,2,-,4,6
소계,폭력범죄,손괴,초등학교,중퇴,338,372,401,365,406,444,455,444,495,472,414,366
소계,폭력범죄,손괴,초등학교,졸업,1523,1575,1657,1610,1732,1757,1647,1710,1788,1729,1533,1388
소계,폭력범죄,손괴,중학교,재중,77,139,126,84,138,146,118,125,188,242,233,351
소계,폭력범죄,손괴,중학교,중퇴,574,682,665,603,672,736,730,705,717,658,604,598
소계,폭력범죄,손괴,중학교,졸업,2123,2290,2378,2272,2435,2618,2548,2494,2715,2720,2330,2263
소계,폭력범죄,손괴,고등학교,재중,225,325,277,237,295,375,378,323,357,366,414,448
소계,폭력범죄,손괴,고등학교,중퇴,1023,1077,1040,1005,1163,1196,1183,1250,1225,1253,1137,1123
소계,폭력범죄,손괴,고등학교,졸업,10727,10923,10443,10727,10731,12174,11993,11735,12829,12631,11628,11886
소계,폭력범죄,손괴,대학(4년미만),재중,131,106,109,144,124,112,115,129,117,106,113,96
소계,폭력범죄,손괴,대학(4년미만),중퇴,127,138,137,175,164,183,146,206,223,208,164,175
소계,폭력범죄,손괴,대학(4년미만),졸업,1093,1246,1349,1349,1480,1585,1585,1846,1846,1793,1657,1711
소계,폭력범죄,손괴,대학(4년이상),재중,533,668,658,655,707,714,679,677,647,644,577,672
소계,폭력범죄,손괴,대학(4년이상),중퇴,460,560,602,671,802,806,908,887,932,987,936,936
소계,폭력범죄,손괴,대학(4년이상),졸업,2856,3068,3097,3361,3538,4022,4089,4263,4600,4475,4192,4494
소계,폭력범죄,손괴,대학원,소계,506,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,손괴,대학원,재중,-,90,87,97,106,103,131,85,79,78,77,87
소계,폭력범죄,손괴,대학원,중퇴,-,45,32,54,62,71,88,40,51,73,64,66
소계,폭력범죄,손괴,대학원,졸업,-,418,432,475,504,546,625,551,592,582,592,597
소계,폭력범죄,손괴,기타,소계,1338,980,540,524,419,462,432,391,461,509,540,599
소계,폭력범죄,손괴,미상,소계,4780,4608,4936,5134,5903,6524,6701,7460,8185,8827,8330,8709
소계,지능범죄,소계,불취학,소계,631,605,711,699,698,674,677,682,774,731,582,581
소계,지능범죄,소계,초등학교,재중,10,7,2,14,10,11,10,5,9,17,7,12
소계,지능범죄,소계,초등학교,중퇴,939,959,1065,994,1132,1125,1023,1096,1145,1075,841,862
소계,지능범죄,소계,초등학교,졸업,5162,5337,5699,5517,5899,5401,4871,4988,5180,4880,3416,3424
소계,지능범죄,소계,중학교,재중,582,934,882,870,1049,849,830,946,1115,1467,1308,1910
소계,지능범죄,소계,중학교,중퇴,3297,3288,3772,3633,3618,3218,2771,2816,2847,2558,1900,1872
소계,지능범죄,소계,중학교,졸업,8923,9209,10305,10824,11445,10922,9798,10682,11358,11244,7688,7978
소계,지능범죄,소계,고등학교,재중,3417,4902,4435,4216,4793,4769,3912,3649,3735,4447,3406,3144
소계,지능범죄,소계,고등학교,중퇴,6925,6778,8022,7471,8057,7573,6931,7699,8415,8245,5896,5818
소계,지능범죄,소계,고등학교,졸업,61624,58143,59057,60446,63083,62997,61128,65905,74121,72185,55271,54624
소계,지능범죄,소계,대학(4년미만),재중,403,411,424,332,410,480,401,615,681,758,658,523
소계,지능범죄,소계,대학(4년미만),중퇴,770,805,1006,976,1070,1137,1011,1388,1411,1489,1143,1091
