죄종별(1),죄종별(2),죄종별(3),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,1309326,1329694,1419811,1536652,1712233,1654064,1739558,1860687,1833271,1894762,1968183,1733122,1719075,1836496,2063737,2020209,1784953
형법범,소계,소계,467901,497352,545178,553334,633235,689558,773121,802573,754605,827074,803135,790847,818725,828610,885671,980325,934839
형법범,강력범,소계,12114,9762,10655,11599,13602,13400,14520,14858,14353,16519,15496,15357,16397,15973,17758,19790,25771
형법범,강력범,살인,653,630,679,784,963,976,941,1051,957,998,1083,1061,1073,1111,1109,1374,1251
형법범,강력범,강도,4580,3674,3670,4420,5516,4972,5461,5692,5906,7292,5832,5170,4838,4439,4811,6351,4409
형법범,강력범,강간,6173,4844,5580,5627,5978,6359,6855,6751,6119,6531,6950,7316,8755,8726,9883,10192,18220
형법범,강력범,방화,708,614,726,768,1145,1093,1263,1364,1371,1698,1631,1810,1731,1697,1955,1873,1891
형법범,절도범,소계,60255,62710,70238,83063,91438,89395,173876,180704,178457,187352,155311,188780,192670,212458,223216,256423,269410
형법범,절도범,절도,38787,43856,51853,62685,62749,60598,140388,147087,130527,144330,120952,156508,159902,171873,177429,193897,211991
형법범,절도범,특가법(절도),3879,2342,1996,2362,3812,7136,9388,12330,20014,19716,15546,13016,13644,16849,19633,27946,24459
형법범,절도범,특가법(절도강간),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도,3037,2619,2528,2593,3202,3337,3510,3089,3199,3062,2243,2313,2436,2917,3527,5056,7437
형법범,절도범,야간주거침입절도(상습),2,4,2,-,12,7,4,9,3,11,2,45,10,1,9,18,42
형법범,절도범,특수절도,13891,13596,13653,14805,20870,17507,19620,17248,23155,18741,15488,16075,16029,19847,21527,27453,24049
형법범,절도범,자동차·선박등불법사용,-,-,-,351,379,343,384,373,425,452,400,382,337,348,314,311,253
형법범,절도범,특수절도(상습),17,16,5,20,67,41,12,56,45,129,14,-,41,9,21,79,24
형법범,절도범,상습절도,641,277,201,247,347,426,570,512,1089,911,666,441,271,614,756,1663,1155
형법범,폭력범,소계,193047,186490,194891,200675,226409,282274,333630,338045,283930,294893,286464,285363,281969,295156,305508,315747,292347
형법범,폭력범,상해,23081,21450,22484,22147,24765,29569,31386,-,-,-,-,-,-,-,-,-,-
형법범,폭력범,폭행,4620,4521,4647,4607,7030,11077,15551,-,-,-,-,-,-,-,-,-,-
형법범,폭력범,협박,671,617,657,773,788,1101,1306,-,-,-,-,-,-,-,-,-,-
형법범,폭력범,공갈,971,1337,1199,1263,1169,1360,1610,-,-,-,-,-,-,-,-,-,-
형법범,지능범,소계,158399,196845,227064,213445,253297,249769,192574,209364,220719,273867,290643,244680,258705,233213,260327,282106,268191
형법범,지능범,사기,125192,162483,191101,176588,206702,190944,152450,-,-,-,-,-,-,-,-,-,-
형법범,지능범,횡령,12822,13604,13582,12929,16536,14232,10853,-,-,-,-,-,-,-,-,-,-
형법범,지능범,배임,3204,3135,3304,3066,3762,3933,2540,-,-,-,-,-,-,-,-,-,-
형법범,풍속범,소계,16515,15815,15070,14722,15497,17655,19342,18519,16605,13668,13998,11492,19040,13563,14411,34793,15673
형법범,풍속범,도박,7239,7084,6552,6961,7710,9763,11656,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,소계,27571,25730,27260,29830,32992,37065,39179,41083,40541,40775,41223,45175,49944,58247,64451,71466,63447
형법범,기타형법범,장물에 관한죄,1097,868,852,898,1716,1857,1476,1235,1290,1032,1492,3138,2410,2772,2144,3287,2918
형법범,기타형법범,특가법(장물),26,12,15,11,12,311,240,161,56,62,64,377,79,246,47,72,283
형법범,기타형법범,내란의 죄,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,2,1,-,1,2,-,-,7,2,4,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,52,43,32,42,46,55,44,46,36,40,30,28,31,31,30,23,20
형법범,기타형법범,폭발물에 관한 죄,1,-,1,-,2,1,-,6,1,1,1,2,-,1,5,-,5
형법범,기타형법범,공무방해에 관한 죄,5946,5573,6190,7313,8350,8526,9142,10083,10876,10787,10239,9917,10961,14576,16352,17142,13321
형법범,기타형법범,도주와 도주원조죄,123,92,11,93,168,179,255,86,135,128,16,20,9,11,8,16,11
형법범,기타형법범,범인은닉·범인도피죄,219,174,193,230,248,255,256,322,333,354,222,123,125,187,218,355,145
형법범,기타형법범,위증죄,1973,1747,1635,1831,1913,2440,2320,2108,1750,1664,1999,2010,2007,2094,2129,2330,2188
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,28,55,28,28,34,51,44,45,45,38,35,37,42,44,30,48,44
형법범,기타형법범,무고의 죄,1388,1296,1253,1371,1445,1910,2005,2074,1833,1857,2073,2194,2270,1943,2075,2410,2466
형법범,기타형법범,특가법(무고),1,-,1,1,1,1,1,4,-,10,4,1,-,3,-,1,-
형법범,기타형법범,신앙에 관한 죄,109,97,106,107,113,166,120,221,159,174,190,231,248,296,207,241,225
형법범,기타형법범,실화 및 업무상실화죄,3289,3096,3272,3465,2849,2536,3595,4111,3363,3086,1915,2461,2199,1903,1891,1873,2071
형법범,기타형법범,일수와 수리에 관한 죄,15,15,10,13,15,12,13,22,16,7,12,15,12,15,11,3,9
형법범,기타형법범,교통 방해의 죄,821,739,790,927,1067,871,837,926,874,1018,798,839,848,977,1123,1358,1085
형법범,기타형법범,음용수에 관한 죄,30,29,17,15,10,36,32,29,25,41,16,22,24,32,23,20,19
형법범,기타형법범,아편·몰핀에 관한 죄,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-
형법범,기타형법범,과실사상의 죄,3861,3589,3734,3719,3220,3436,3772,3716,3523,3718,3794,3629,3940,3812,3810,3987,4181
형법범,기타형법범,낙태의 죄,21,20,18,24,28,39,37,39,32,22,30,24,25,17,29,26,52
형법범,기타형법범,유기의 죄,106,111,126,98,118,177,215,237,165,214,242,200,151,158,147,117,129
형법범,기타형법범,명예에 관한 죄,3412,3142,3237,3327,3501,4867,5632,6190,5844,5907,6918,7359,7704,8421,10834,12706,12155
형법범,기타형법범,신용·업무와 경매에 관한 죄,2121,2073,2188,2471,2907,3571,4104,4649,4799,5245,6267,7268,9190,12274,14301,16124,13464
형법범,기타형법범,비밀침해죄,5,6,7,5,4,8,11,6,9,5,20,21,32,23,32,38,37
형법범,기타형법범,주거침입의 죄,1031,895,1267,1248,1523,1790,1908,1887,1836,2051,1866,2103,3998,4822,5602,5783,5515
형법범,기타형법범,권리행사를 방해하는 죄,1894,2056,2277,2591,3700,3968,3120,2869,3537,3310,2912,3084,3576,3289,3055,3495,3090
형법범,기타형법범,인질강요,-,-,-,1,-,-,-,1,2,-,3,-,1,-,3,-,-
형법범,기타형법범,인질상해(치상),-,-,-,-,-,2,-,-,-,-,-,4,1,1,-,-,1
형법범,기타형법범,인질살해(치사),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,기타,-,-,-,-,-,-,-,-,-,-,63,68,61,299,345,10,12
특별법범,소계,소계,841425,832342,874633,983318,1078998,964506,966437,1058114,1078666,1067688,1165048,942275,900350,1007886,1178066,1039884,850114
특별법범,소계,가정의례에 관한 법률,552,294,70,98,50,65,11,1,-,-,-,-,-,-,-,-,-
특별법범,소계,건설기계관리법,916,8,7,-,-,-,-,-,-,-,-,-,-,-,1428,895,658
특별법범,소계,건설산업기본법,-,-,-,-,-,-,-,-,-,-,261,369,228,175,210,265,521
특별법범,소계,건설업법,500,584,432,254,78,27,12,3,2,-,-,-,-,-,-,-,-
특별법범,소계,건설폐기물의재활용 촉진에관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370
특별법범,소계,건축법,9791,9222,7674,7791,6947,6513,6437,6869,8118,8157,8405,5174,4983,4418,4806,5014,4301
특별법범,소계,게임산업진흥에 관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,1134,24590,17398,17085,10572
특별법범,소계,경범죄처벌법,92,77,63,97,96,35,33,65,43,56,73,78,118,101,182,226,182
특별법범,소계,경찰공무원법,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
특별법범,소계,경찰관직무집행법,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,계량법,39,1,-,1,2,4,2,1,2,2,-,-,-,-,-,-,-
특별법범,소계,계량에 관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
특별법범,소계,고압가스안전관리법,54,70,106,53,31,99,71,61,78,71,59,67,45,65,63,29,53
특별법범,소계,골재채취법,56,72,75,77,84,136,117,109,127,1536,1008,772,84,179,97,80,85
특별법범,소계,공공기관의 개인정보보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,35,54,51,96,121,69,89
특별법범,소계,공연법,16,19,20,20,6,6,8,11,9,6,-,7,1,2,3,1,4
특별법범,소계,공유수면관리법,-,-,-,-,-,-,-,-,-,-,1347,923,351,1348,465,1288,1449
특별법범,소계,공중위생관리법,-,-,-,-,-,-,-,-,-,-,506,285,430,458,429,355,425
특별법범,소계,공중위생법,2363,3533,3380,3659,5659,2672,204,128,92,125,-,-,-,-,-,-,-
특별법범,소계,공직선거 및 선거부정방지법,-,-,-,86,2057,141,1355,82,3379,380,1926,156,94,1,-,-,1
특별법범,소계,공직선거법,-,-,-,-,-,-,-,-,-,-,-,-,2313,649,1536,164,2076
특별법범,소계,관세법,22,18,15,11,16,24,33,24,18,16,34,27,223,31,314,48,10
특별법범,소계,교통사고특례법,250789,231935,244827,226043,210112,239050,255712,234298,211209,212528,211796,191502,193698,192332,186917,199712,198313
특별법범,소계,구국가보안법,102,51,88,103,90,61,39,18,19,4,-,-,-,-,-,-,-
특별법범,소계,국가보안법,354,211,325,479,343,224,110,46,37,32,92,35,30,50,31,33,69
특별법범,소계,국민건강보험법,-,-,-,-,-,-,-,-,-,-,7,12,6,28,27,56,33
특별법범,소계,국민연금법,-,-,-,-,-,-,-,-,-,-,151,68,83,32,34,24,38
특별법범,소계,국민투표법,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,국토의계획 및 이용에 관한 법률,-,-,-,-,-,-,-,-,-,-,1319,2087,1415,1300,1201,948,868
특별법범,소계,국회의원 선거법,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,근로기준법,24,41,47,56,60,195,114,105,83,45,38,35,30,28,29,48,34
특별법범,소계,낚시어선업법,-,-,-,-,-,-,-,-,-,-,374,378,271,327,959,235,216
특별법범,소계,내수면어업법,-,-,-,-,-,-,-,-,-,-,184,187,173,167,211,217,98
특별법범,소계,노동쟁의조정법,6,4,10,1,-,-,-,2,-,-,-,-,-,-,-,-,-
특별법범,소계,노동조합 및 노동관계 조정법,-,-,-,-,-,-,-,-,-,-,-,20,7,6,2,1,3
특별법범,소계,농산물품질관리법,-,-,-,-,-,-,-,-,-,-,297,102,52,34,187,161,70
특별법범,소계,농수산물 유통 및 가격안정에 관한 법률,56,12,31,53,79,39,41,106,67,355,66,91,60,41,60,87,55
특별법범,소계,농지법,-,-,-,-,-,-,-,-,-,-,1137,1035,1134,957,910,710,622
특별법범,소계,농지의 보전 및 이용에 관한 법률,569,516,147,49,28,8,5,1,-,1,-,-,-,-,-,-,-
특별법범,소계,담배사업법,-,-,-,-,-,-,-,-,-,-,412,451,981,683,384,441,219
특별법범,소계,대기환경보전법,1391,1252,1165,1054,1504,1186,3764,3560,2901,2269,2446,2428,1318,1017,2516,1402,489
특별법범,소계,대마관리법,595,572,415,454,914,1217,1177,916,1078,975,-,-,-,-,-,-,-
특별법범,소계,대부업의 등록 및 금융이용자보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,817,524,538,3065,4872,15126,2540
특별법범,소계,대통령 선거법,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,도로교통법(공동위험행위),-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,157,140
특별법범,소계,도로교통법(교통사고),231725,262407,307451,427340,473786,388232,361932,395252,381986,323440,65778,73122,59681,58890,51052,24876,22006
특별법범,소계,도로교통법(무면허운전),-,-,-,-,-,-,-,-,-,-,103437,75028,57509,89815,156382,98131,58700
특별법범,소계,도로교통법(사고후미조치),-,-,-,-,-,-,-,-,-,-,-,-,-,-,286,15282,21797
특별법범,소계,도로교통법(음주운전),-,-,-,-,-,-,-,-,-,-,449057,323613,286117,351285,387289,290124,267242
특별법범,소계,도로교통법(음주측정거부),-,-,-,-,-,-,-,-,-,-,5506,4050,3486,3820,3876,3050,2936
특별법범,소계,도로법,40006,20249,20230,20200,14406,16904,18455,21230,32201,37391,37687,31665,34415,37319,37314,35054,28007
특별법범,소계,도로운송차량법,177,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,도시가스사업법,27,50,77,62,34,46,24,18,18,52,48,34,20,21,17,13,15
특별법범,소계,도시계획법,1623,1880,2055,2213,1857,1812,2086,1034,1077,422,3,-,-,-,-,-,-
특별법범,소계,도시공원및녹지등에관한법률,-,-,-,-,-,-,-,-,-,-,-,-,-,140,106,136,89
특별법범,소계,도시공원법,-,-,-,-,-,-,-,-,-,-,209,215,19,-,-,-,-
특별법범,소계,독물 및 극물에 관한 법률,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,독점규제 및 공정거래에 관한 법률,6,1,6,2,7,4,5,4,5,2,3,7,7,-,-,-,-
특별법범,소계,디자인보험법,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190
특별법범,소계,마약류 관리에 관한 법률(마약),-,-,-,-,-,-,-,-,-,-,749,451,638,731,1174,1908,674
특별법범,소계,마약류관리에 관한법률(대마),-,-,-,-,-,-,-,-,-,-,833,591,548,655,552,988,881
특별법범,소계,마약류관리에 관한법률(향정),-,-,-,-,-,-,-,-,-,-,2122,2031,2799,4658,3378,3183,2677
특별법범,소계,마약법,671,552,449,410,472,486,925,568,778,863,-,-,-,-,-,-,-
특별법범,소계,매장 및 묘지등에 관한 법률,163,146,141,180,178,275,190,88,98,29,-,-,-,-,-,-,-
특별법범,소계,문화재보호법,35,32,19,32,40,129,68,56,75,161,181,139,107,91,57,113,95
특별법범,소계,물가안정에 관한 법률,35,2,-,-,15,-,-,-,-,1,-,-,-,-,-,-,-
특별법범,소계,미성년자보호법,457,584,717,847,951,552,7,2,1,-,-,-,-,-,-,-,-
특별법범,소계,민방위기본법,1148,8,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
특별법범,소계,민법,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,민사소송법,-,-,-,-,-,-,-,-,-,-,51,35,29,9,13,14,8
특별법범,소계,밀항단속법,74,79,68,64,41,42,54,73,102,83,125,155,245,266,205,169,83
특별법범,소계,방문판매등에 관한 법률,67,48,525,388,498,219,238,551,617,270,204,246,197,193,223,843,291
특별법범,소계,배타적경제수역의 외국인어업등에 관한 법률,-,-,-,-,-,-,-,-,-,-,371,581,401,393,366,251,244
특별법범,소계,변호사법,417,320,364,314,418,496,439,455,372,366,397,473,377,365,395,438,450
특별법범,소계,병역법,17757,14642,5840,5279,6751,7183,11315,12901,16373,21003,17913,14263,11027,10516,8748,7844,9584
특별법범,소계,병역의무특례규제에 관한 법률,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
특별법범,소계,보건범죄특조법(부정식품),35,33,54,56,34,110,74,65,50,57,2,3,2,5,5,11,4
특별법범,소계,보건범죄특조법(부정유독물),1,2,1,2,-,2,2,2,3,4,3,-,-,-,-,-,-
특별법범,소계,보건범죄특조법(부정의료업자),193,237,156,183,191,478,517,355,340,347,1055,627,353,467,557,572,328
특별법범,소계,보건범죄특조법(부정의약품),10,21,16,15,12,16,16,14,13,8,28,13,11,8,49,30,7
특별법범,소계,보건범죄특조법(허위정보),-,1,-,1,4,2,3,1,3,10,1,1,-,-,-,-,-
