죄종별(1),죄종별(2),죄종별(3),범죄발생요일별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,강력범죄,강간,금요일,-,-,819,746,699,760,757,699,722,760,695,772
총범죄,강력범죄,강간,목요일,-,-,767,680,629,615,665,646,682,701,706,681
총범죄,강력범죄,강간,수요일,-,-,711,673,683,655,680,743,719,712,654,718
총범죄,강력범죄,강간,월요일,-,-,759,628,670,655,690,698,686,699,773,770
총범죄,강력범죄,강간,일요일,-,-,925,789,875,873,890,906,869,909,878,869
총범죄,강력범죄,강간,토요일,-,-,972,865,904,896,874,892,898,865,901,929
총범죄,강력범죄,강간,화요일,-,-,800,697,691,701,667,709,734,667,656,728
총범죄,강력범죄,강간・강제추행,금요일,2758,2842,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,목요일,2788,2613,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,수요일,2680,2774,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,월요일,2572,2515,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,일요일,2875,2975,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,토요일,3067,3240,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,화요일,2758,2711,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강도,금요일,597,359,290,226,206,175,142,101,121,84,88,73
총범죄,강력범죄,강도,목요일,545,399,286,231,205,163,139,117,124,105,66,58
총범죄,강력범죄,강도,수요일,604,363,288,225,183,165,142,116,105,103,72,64
총범죄,강력범죄,강도,월요일,558,358,296,240,223,157,123,120,113,118,53,80
총범죄,강력범죄,강도,일요일,539,361,285,220,229,167,151,126,111,77,84,82
총범죄,강력범죄,강도,토요일,563,390,260,235,195,156,131,108,108,78,64,68
총범죄,강력범죄,강도,화요일,588,357,275,209,205,166,139,133,116,98,68,91
총범죄,강력범죄,강제추행,금요일,-,-,2096,2071,2229,2471,2685,2547,2542,2390,2071,2359
총범죄,강력범죄,강제추행,목요일,-,-,2079,2045,2027,2228,2565,2389,2231,2082,1988,2223
총범죄,강력범죄,강제추행,수요일,-,-,2118,2042,2058,2128,2467,2333,2358,2152,2025,2214
총범죄,강력범죄,강제추행,월요일,-,-,1999,1901,2059,2091,2309,2197,2272,2068,1994,2163
총범죄,강력범죄,강제추행,일요일,-,-,2075,2126,2237,2373,2619,2564,2580,2185,1862,2185
총범죄,강력범죄,강제추행,토요일,-,-,2336,2297,2409,2641,2898,2760,2831,2503,2178,2567
총범죄,강력범죄,강제추행,화요일,-,-,2075,2129,2040,2122,2404,2263,2306,1964,1844,2153
총범죄,강력범죄,기타 강간·강제추행등,금요일,-,-,220,128,75,58,38,55,43,31,27,35
총범죄,강력범죄,기타 강간·강제추행등,목요일,-,-,229,125,65,52,38,45,39,28,35,31
총범죄,강력범죄,기타 강간·강제추행등,수요일,-,-,228,130,81,51,45,49,49,36,28,29
총범죄,강력범죄,기타 강간·강제추행등,월요일,-,-,221,131,76,56,35,51,53,38,37,36
총범죄,강력범죄,기타 강간·강제추행등,일요일,-,-,273,159,93,62,46,49,58,32,46,32
총범죄,강력범죄,기타 강간·강제추행등,토요일,-,-,276,153,90,68,64,59,38,47,24,33
총범죄,강력범죄,기타 강간·강제추행등,화요일,-,-,200,165,78,61,38,48,45,25,41,29
총범죄,강력범죄,방화,금요일,271,263,220,243,231,221,181,212,206,175,136,190
총범죄,강력범죄,방화,목요일,259,250,235,233,226,223,209,246,170,192,141,197
총범죄,강력범죄,방화,수요일,255,256,258,221,223,193,188,235,209,161,131,141
총범죄,강력범죄,방화,월요일,294,285,267,233,268,218,193,236,181,180,173,160
총범죄,강력범죄,방화,일요일,309,316,270,279,246,229,217,256,209,201,164,186
총범죄,강력범죄,방화,토요일,298,269,278,277,247,207,188,243,206,155,144,182
총범죄,강력범죄,방화,화요일,317,261,215,237,232,211,196,263,181,164,157,177
총범죄,강력범죄,살인기수,금요일,62,59,34,45,39,54,45,54,49,42,52,37
총범죄,강력범죄,살인기수,목요일,51,63,41,49,59,40,57,41,37,30,37,39
총범죄,강력범죄,살인기수,수요일,68,59,66,56,59,61,43,53,40,43,32,46
총범죄,강력범죄,살인기수,월요일,68,61,66,59,60,55,51,40,45,53,34,43
총범죄,강력범죄,살인기수,일요일,67,53,46,47,41,50,30,54,38,58,39,32
총범죄,강력범죄,살인기수,토요일,52,54,37,48,49,53,33,29,40,29,38,35
총범죄,강력범죄,살인기수,화요일,59,62,52,68,58,43,42,38,48,53,38,43
총범죄,강력범죄,살인미수등,금요일,102,79,78,74,68,81,73,67,85,51,59,58
총범죄,강력범죄,살인미수등,목요일,99,81,90,87,85,70,67,76,73,62,48,57
총범죄,강력범죄,살인미수등,수요일,108,82,79,82,101,81,73,68,62,60,55,54
총범죄,강력범죄,살인미수등,월요일,112,78,81,74,80,86,76,74,70,68,64,62
총범죄,강력범죄,살인미수등,일요일,122,88,101,73,94,91,74,72,71,57,53,65
총범죄,강력범죄,살인미수등,토요일,112,80,77,66,71,71,83,69,53,68,53,55
총범죄,강력범죄,살인미수등,화요일,122,96,81,85,65,78,78,62,68,50,56,76
총범죄,강력범죄,소계,금요일,3790,3602,3776,3578,3613,3902,4037,3834,3880,3644,3228,3653
총범죄,강력범죄,소계,목요일,3742,3406,3744,3494,3350,3456,3807,3659,3445,3312,3127,3411
총범죄,강력범죄,소계,수요일,3715,3534,3766,3476,3464,3416,3720,3693,3634,3402,3119,3403
총범죄,강력범죄,소계,월요일,3604,3297,3704,3312,3494,3385,3558,3529,3519,3320,3267,3445
총범죄,강력범죄,소계,일요일,3912,3793,3997,3758,3907,3931,4134,4154,4081,3637,3251,3596
총범죄,강력범죄,소계,토요일,4092,4033,4262,4016,4070,4200,4375,4299,4310,3896,3531,4026
총범죄,강력범죄,소계,화요일,3844,3487,3713,3643,3436,3475,3643,3619,3607,3121,2953,3420
총범죄,강력범죄,유사강간,금요일,-,-,19,45,66,82,116,99,112,111,100,129
총범죄,강력범죄,유사강간,목요일,-,-,17,44,54,65,67,99,89,112,106,125
총범죄,강력범죄,유사강간,수요일,-,-,18,47,76,82,82,96,92,135,122,137
총범죄,강력범죄,유사강간,월요일,-,-,15,46,58,67,81,113,99,96,139,131
총범죄,강력범죄,유사강간,일요일,-,-,22,65,92,86,107,127,145,118,125,145
총범죄,강력범죄,유사강간,토요일,-,-,26,75,105,108,104,139,136,151,129,157
총범죄,강력범죄,유사강간,화요일,-,-,15,53,67,93,79,103,109,100,93,123
총범죄,교통범죄,소계,금요일,81465,84446,90658,89157,92973,91267,76963,63750,58103,54381,48221,38316
총범죄,교통범죄,소계,목요일,78133,78722,82147,82368,85819,87438,73767,59736,54846,50518,45010,34872
총범죄,교통범죄,소계,수요일,76779,76301,81327,81707,84795,85277,71558,58184,54509,49712,44706,34202
총범죄,교통범죄,소계,월요일,70789,70692,75153,76089,79700,80279,66657,54328,51459,48515,42843,31335
총범죄,교통범죄,소계,일요일,70572,71365,75094,74665,77266,79265,65739,52166,47698,43196,37318,31817
총범죄,교통범죄,소계,토요일,83000,84792,89380,88756,91183,91712,76545,62725,57134,52071,46324,36943
총범죄,교통범죄,소계,화요일,75429,76466,79694,80751,84929,85163,69933,57482,53605,50332,44212,33544
총범죄,기타범죄,소계,금요일,27202,27614,30155,27629,33180,40735,35902,35007,37367,37686,36777,41501
총범죄,기타범죄,소계,목요일,27993,26815,28435,27137,33071,40077,37651,35019,37250,38844,37555,42339
총범죄,기타범죄,소계,수요일,27386,26501,29775,28295,33968,39676,36964,34617,36996,36489,38846,42011
총범죄,기타범죄,소계,월요일,25924,25162,28841,26773,32957,39069,35693,35126,39244,37465,40602,43168
총범죄,기타범죄,소계,일요일,17704,18782,19808,19471,22843,29040,24881,22896,25278,25127,24810,26316
총범죄,기타범죄,소계,토요일,22561,22750,23532,22724,26317,31267,26894,24794,26756,28287,26478,29670
총범죄,기타범죄,소계,화요일,27587,26643,28410,28497,33861,40675,36886,34403,37277,37931,38014,42959
총범죄,노동범죄,소계,금요일,246,213,266,479,155,397,459,339,143,53,64,109
총범죄,노동범죄,소계,목요일,294,279,290,192,202,425,465,349,175,62,69,116
총범죄,노동범죄,소계,수요일,270,250,316,163,218,406,563,299,168,52,81,101
총범죄,노동범죄,소계,월요일,293,244,269,188,235,468,577,397,162,81,75,106
총범죄,노동범죄,소계,일요일,88,89,101,42,60,84,121,67,85,18,16,82
총범죄,노동범죄,소계,토요일,123,101,143,63,67,107,138,77,103,17,15,76
총범죄,노동범죄,소계,화요일,270,215,336,181,208,570,539,355,139,73,86,124
총범죄,마약범죄,소계,금요일,654,649,781,696,901,1200,1066,989,1272,1370,1210,1628
총범죄,마약범죄,소계,목요일,606,684,699,717,980,1088,1110,988,1195,1387,1238,1571
총범죄,마약범죄,소계,수요일,656,623,696,714,984,1118,1206,986,1219,1529,1175,1508
총범죄,마약범죄,소계,월요일,642,626,757,766,1082,1143,1166,1038,1278,1591,1451,1761
총범죄,마약범죄,소계,일요일,418,513,463,538,729,786,898,748,789,962,865,1094
총범죄,마약범죄,소계,토요일,498,536,521,654,732,769,939,693,933,912,883,1092
총범죄,마약범죄,소계,화요일,686,637,681,740,1003,1225,1116,1071,1352,1435,1266,1677
총범죄,병역범죄,소계,금요일,3030,3387,3990,3444,3157,2760,2156,2197,1834,594,339,735
총범죄,병역범죄,소계,목요일,3410,3781,4048,3861,3319,2750,2287,2253,2082,734,314,974
총범죄,병역범죄,소계,수요일,2881,3322,3574,3419,2744,2431,2377,2287,1940,595,286,825
총범죄,병역범죄,소계,월요일,4866,5698,6535,5174,4578,3854,3603,3612,3068,979,436,885
총범죄,병역범죄,소계,일요일,183,445,329,206,219,178,272,149,111,38,38,67
총범죄,병역범죄,소계,토요일,449,457,277,182,194,256,190,117,97,49,57,84
총범죄,병역범죄,소계,화요일,5768,6053,7420,5263,4515,4422,4442,3656,3580,856,353,1068
총범죄,보건범죄,소계,금요일,2340,2732,2959,2276,2189,2545,2062,1846,2085,2361,2761,2983
총범죄,보건범죄,소계,목요일,2430,3049,3015,2479,2460,2487,2106,1839,2043,2370,2971,2924
총범죄,보건범죄,소계,수요일,2333,2781,4915,2563,2574,2413,2142,1672,1962,2237,2621,2645
총범죄,보건범죄,소계,월요일,2234,2681,3426,2503,2439,2288,1941,1860,2051,2378,2509,2571
총범죄,보건범죄,소계,일요일,985,1032,952,917,983,1076,1075,934,934,1181,1252,1494
총범죄,보건범죄,소계,토요일,1281,1712,1575,1285,1350,1404,1236,1122,1399,1730,1750,2251
총범죄,보건범죄,소계,화요일,2480,2813,3541,2634,2607,2449,1999,1760,2096,2338,3072,2881
총범죄,선거범죄,소계,금요일,27,171,59,265,103,145,114,302,95,102,40,486
총범죄,선거범죄,소계,목요일,30,189,48,302,107,139,103,292,113,116,48,468
총범죄,선거범죄,소계,수요일,48,244,112,317,143,224,69,327,100,166,45,504
총범죄,선거범죄,소계,월요일,31,175,52,268,133,159,69,313,90,128,48,492
총범죄,선거범죄,소계,일요일,15,129,37,212,76,109,67,177,65,94,27,272
총범죄,선거범죄,소계,토요일,28,159,47,228,75,104,78,191,57,102,25,293
총범죄,선거범죄,소계,화요일,33,195,43,282,123,138,140,295,91,121,41,454
총범죄,소계,소계,금요일,271837,279603,290897,275787,287124,285209,254521,247568,251352,248331,221779,234383
총범죄,소계,소계,목요일,260594,267294,272350,260482,272951,273068,248464,237403,241974,239912,217785,226820
총범죄,소계,소계,수요일,257864,261605,273680,261407,275298,270657,244731,234332,240590,237590,217179,223678
총범죄,소계,소계,월요일,251661,253581,270664,254123,268439,262770,237218,231545,242481,240514,221260,223326
총범죄,소계,소계,일요일,206872,215700,219141,215214,224673,229170,205729,186472,185520,178396,155229,163152
총범죄,소계,소계,토요일,242619,248763,254658,246972,257201,254921,227384,208405,208398,202492,178039,185657
총범죄,소계,소계,화요일,261151,266854,275886,264981,275971,273655,244294,235026,241591,240631,218555,225417
총범죄,안보범죄,소계,금요일,13,19,18,13,15,6,12,9,24,23,34,18
총범죄,안보범죄,소계,목요일,20,6,15,14,23,16,17,10,25,34,20,73
총범죄,안보범죄,소계,수요일,19,12,25,13,17,11,18,10,22,40,39,24
총범죄,안보범죄,소계,월요일,7,19,19,9,29,14,14,14,25,38,47,37
총범죄,안보범죄,소계,일요일,15,21,19,10,11,4,11,10,36,29,22,20
총범죄,안보범죄,소계,토요일,31,13,26,7,10,14,14,4,24,22,13,16
총범죄,안보범죄,소계,화요일,26,19,13,18,16,16,12,12,13,30,31,31
총범죄,절도범죄,소계,금요일,42692,44051,43634,40471,37363,30852,27505,26398,28156,27311,25209,28133
총범죄,절도범죄,소계,목요일,39233,40576,40372,36805,33668,27809,25746,24400,26098,24974,23989,26137
총범죄,절도범죄,소계,수요일,39674,40306,40451,36689,34908,27861,25147,24761,26061,25538,23743,26203
총범죄,절도범죄,소계,월요일,39466,39237,40199,35699,34039,27683,25011,24354,26239,25196,23429,25210
총범죄,절도범죄,소계,일요일,37476,40168,38781,36895,33217,28759,25926,24832,25466,23771,21687,23632
총범죄,절도범죄,소계,토요일,43084,46192,45667,42693,39215,32445,29623,27786,29266,27557,24897,27511
총범죄,절도범죄,소계,화요일,39737,39930,39239,36970,33443,27628,24799,24278,25671,25170,23455,25444
총범죄,지능범죄,문서・인장,금요일,2444,2571,2759,2412,2459,2294,2129,1991,1978,2100,1790,2022
총범죄,지능범죄,문서・인장,목요일,2497,2414,2633,2494,2480,2157,2087,2710,2032,1956,1853,1985
총범죄,지능범죄,문서・인장,수요일,2522,2393,2528,2457,2465,2245,1990,1893,1840,1974,1843,1946
총범죄,지능범죄,문서・인장,월요일,3101,2603,3002,2799,2823,2427,2152,2202,2130,2197,2026,2082
총범죄,지능범죄,문서・인장,일요일,734,886,788,756,806,874,921,673,620,570,416,484
총범죄,지능범죄,문서・인장,토요일,1042,1058,1043,1012,1070,1066,1174,829,772,730,585,667
총범죄,지능범죄,문서・인장,화요일,2608,2468,2632,2511,2443,2232,1999,1992,1971,2006,1959,2073
총범죄,지능범죄,배임,금요일,822,718,800,842,777,823,680,790,905,765,615,690
총범죄,지능범죄,배임,목요일,1034,730,772,726,710,706,628,730,735,703,560,640
총범죄,지능범죄,배임,수요일,751,683,734,747,747,753,610,725,787,735,561,643
총범죄,지능범죄,배임,월요일,803,809,752,722,738,706,613,802,859,701,696,667
총범죄,지능범죄,배임,일요일,255,269,338,298,289,274,273,248,248,215,182,148
총범죄,지능범죄,배임,토요일,315,317,412,327,317,347,282,288,302,245,233,154
총범죄,지능범죄,배임,화요일,745,703,809,794,711,749,620,761,730,728,619,664
총범죄,지능범죄,사기,금요일,38607,40317,45061,39947,41122,39638,38384,46698,52039,57481,47878,55241
총범죄,지능범죄,사기,목요일,36696,40396,44068,39064,40262,40052,38937,45752,51654,58505,50177,55538
