죄종별(1),죄종별(2),죄종별(3),범죄발생시간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,지능범죄,소계,09:00~11:59,43054,49899,55880,51223,53372,52428,53020,49689,49269,49785,36537,34114
총범죄,지능범죄,소계,12:00~14:59,13961,26924,29908,27536,29583,31328,33174,35810,38231,44125,43434,44938
총범죄,지능범죄,소계,15:00~17:59,14352,17064,21391,19458,21509,22434,23158,27529,28941,36693,39182,43169
총범죄,지능범죄,소계,18:00~20:59,9068,10618,14495,13961,16461,17644,17306,18963,20981,25697,23055,28810
총범죄,지능범죄,소계,21:00~23:59,9160,10746,13122,12977,15228,16702,16869,17692,19100,20134,16590,22007
총범죄,지능범죄,소계,미상,169243,165258,177936,157638,162224,153278,139541,175307,204010,226541,188994,213970
총범죄,지능범죄,직무유기,00:00~02:59,10,4,3,4,5,3,-,3,2,2,4,6
총범죄,지능범죄,직무유기,03:00~05:59,2,6,4,1,3,5,3,2,3,4,5,7
총범죄,지능범죄,직무유기,06:00~08:59,-,5,2,5,4,7,8,3,8,9,7,7
총범죄,지능범죄,직무유기,09:00~11:59,68,110,161,143,110,132,140,117,123,137,99,114
총범죄,지능범죄,직무유기,12:00~14:59,12,27,51,61,50,38,37,31,33,47,33,54
총범죄,지능범죄,직무유기,15:00~17:59,22,18,22,26,25,19,16,26,21,29,30,48
총범죄,지능범죄,직무유기,18:00~20:59,10,17,12,9,7,11,11,7,9,11,16,23
총범죄,지능범죄,직무유기,21:00~23:59,5,10,6,5,10,9,5,10,5,6,6,19
총범죄,지능범죄,직무유기,미상,248,299,294,323,293,307,284,382,386,485,757,1272
총범죄,지능범죄,직권남용,00:00~02:59,14,11,9,10,11,16,14,10,8,11,10,18
총범죄,지능범죄,직권남용,03:00~05:59,8,4,5,8,16,10,7,12,11,10,4,11
총범죄,지능범죄,직권남용,06:00~08:59,3,6,10,10,2,11,10,12,12,11,11,21
총범죄,지능범죄,직권남용,09:00~11:59,41,43,60,85,98,76,92,123,135,145,79,127
총범죄,지능범죄,직권남용,12:00~14:59,11,29,25,33,28,44,48,60,48,64,49,77
총범죄,지능범죄,직권남용,15:00~17:59,9,17,19,19,29,29,37,26,40,38,31,51
총범죄,지능범죄,직권남용,18:00~20:59,9,6,17,15,18,20,26,24,26,26,40,56
총범죄,지능범죄,직권남용,21:00~23:59,3,11,26,17,24,33,25,20,15,22,29,43
총범죄,지능범죄,직권남용,미상,128,149,154,167,175,198,235,316,379,397,622,1388
총범죄,지능범죄,증수뢰,00:00~02:59,7,2,1,2,-,3,-,4,-,-,-,-
총범죄,지능범죄,증수뢰,03:00~05:59,1,1,0,-,-,1,1,-,-,-,-,-
총범죄,지능범죄,증수뢰,06:00~08:59,4,1,1,4,1,3,-,3,2,3,1,-
총범죄,지능범죄,증수뢰,09:00~11:59,54,84,40,27,27,37,43,76,25,25,13,18
총범죄,지능범죄,증수뢰,12:00~14:59,35,37,17,14,13,13,24,28,11,14,13,11
총범죄,지능범죄,증수뢰,15:00~17:59,25,22,15,11,6,11,13,10,6,15,11,7
총범죄,지능범죄,증수뢰,18:00~20:59,51,8,7,17,16,11,19,12,8,8,10,6
총범죄,지능범죄,증수뢰,21:00~23:59,44,2,11,5,5,8,5,1,4,4,7,1
총범죄,지능범죄,증수뢰,미상,365,200,161,171,179,173,207,213,204,220,347,277
총범죄,지능범죄,통화,00:00~02:59,359,51,28,25,18,18,8,8,9,2,5,4
총범죄,지능범죄,통화,03:00~05:59,31,36,21,28,21,17,19,1,9,6,9,-
총범죄,지능범죄,통화,06:00~08:59,100,142,45,83,58,49,89,28,27,18,7,14
총범죄,지능범죄,통화,09:00~11:59,2039,2018,819,554,334,339,558,211,183,95,62,83
총범죄,지능범죄,통화,12:00~14:59,454,777,335,273,187,157,291,114,115,67,50,57
총범죄,지능범죄,통화,15:00~17:59,603,590,301,246,179,174,306,117,95,65,50,52
총범죄,지능범죄,통화,18:00~20:59,208,209,157,146,86,89,97,37,41,19,19,17
총범죄,지능범죄,통화,21:00~23:59,115,133,69,81,50,48,55,11,22,17,9,10
총범죄,지능범죄,통화,미상,3991,4247,2099,1334,889,920,1371,667,479,337,165,215
총범죄,지능범죄,문서・인장,00:00~02:59,485,193,177,162,201,215,190,152,174,147,98,87
총범죄,지능범죄,문서・인장,03:00~05:59,80,127,97,114,143,151,134,151,134,82,31,70
총범죄,지능범죄,문서・인장,06:00~08:59,59,65,77,63,118,85,159,131,63,74,75,104
총범죄,지능범죄,문서・인장,09:00~11:59,2582,2364,2848,2917,2866,2525,2438,2636,1688,1547,1045,953
총범죄,지능범죄,문서・인장,12:00~14:59,844,994,1088,1072,1073,992,1672,1139,747,739,601,705
총범죄,지능범죄,문서・인장,15:00~17:59,508,538,662,546,566,528,603,410,464,434,384,500
총범죄,지능범죄,문서・인장,18:00~20:59,324,359,340,299,402,392,306,306,275,292,248,335
총범죄,지능범죄,문서・인장,21:00~23:59,285,432,355,325,385,469,436,365,290,251,157,236
총범죄,지능범죄,문서・인장,미상,9781,9321,9741,8943,8792,7938,6514,7000,7508,7967,7833,8269
총범죄,지능범죄,유가증권인지,00:00~02:59,29,10,6,3,-,-,2,1,-,-,-,-
총범죄,지능범죄,유가증권인지,03:00~05:59,4,5,8,-,3,3,2,1,1,2,1,-
총범죄,지능범죄,유가증권인지,06:00~08:59,7,2,4,2,-,-,1,1,2,2,-,-
총범죄,지능범죄,유가증권인지,09:00~11:59,109,86,93,71,58,50,50,37,27,10,10,10
총범죄,지능범죄,유가증권인지,12:00~14:59,50,41,38,28,33,24,21,14,9,9,10,12
총범죄,지능범죄,유가증권인지,15:00~17:59,52,24,19,17,18,5,17,14,15,2,4,3
총범죄,지능범죄,유가증권인지,18:00~20:59,30,19,13,9,10,4,7,3,7,1,-,2
총범죄,지능범죄,유가증권인지,21:00~23:59,30,13,10,4,1,-,-,3,2,1,3,-
총범죄,지능범죄,유가증권인지,미상,492,308,265,226,159,133,117,123,77,57,35,31
총범죄,지능범죄,사기,00:00~02:59,11367,5149,6470,5636,5435,5252,5437,5374,5443,5714,3120,4336
총범죄,지능범죄,사기,03:00~05:59,3867,4034,4301,3974,3870,3886,3834,3915,3949,4082,2174,2795
총범죄,지능범죄,사기,06:00~08:59,2047,2315,2423,2447,2687,2794,2844,2755,3056,3688,2863,3334
총범죄,지능범죄,사기,09:00~11:59,33328,39296,45224,40455,42233,41443,41906,38319,39184,40259,29237,26382
총범죄,지능범죄,사기,12:00~14:59,11286,22459,25096,22625,23620,24374,25422,28345,30405,35958,35945,36690
총범죄,지능범죄,사기,15:00~17:59,11804,13987,17617,15829,16566,16628,16567,20807,21648,29232,31982,34788
총범죄,지능범죄,사기,18:00~20:59,7232,8323,11586,10733,11737,11863,11251,12481,13930,18638,16599,21248
총범죄,지능범죄,사기,21:00~23:59,7581,8483,10387,9729,10452,10968,10811,11279,12387,13541,10378,14830
총범죄,지능범죄,사기,미상,134958,131320,145978,126981,130693,124405,113417,146754,174470,196563,161777,181445
총범죄,지능범죄,횡령,00:00~02:59,1275,837,1268,1315,1943,2269,2487,2504,2754,2672,1273,2235
총범죄,지능범죄,횡령,03:00~05:59,405,686,900,970,1671,1968,2105,2189,2526,2421,1258,1971
총범죄,지능범죄,횡령,06:00~08:59,427,884,817,969,1514,1974,2031,2434,2780,2698,2328,3069
총범죄,지능범죄,횡령,09:00~11:59,3754,4891,5289,5864,6648,6730,6928,7439,6781,6860,5642,6151
총범죄,지능범죄,횡령,12:00~14:59,1115,2292,2939,3128,4206,5269,5419,5837,6586,6992,6397,7209
총범죄,지능범죄,횡령,15:00~17:59,1265,1813,2630,2676,4043,4968,5530,6062,6584,6813,6634,7685
총범죄,지능범죄,횡령,18:00~20:59,1169,1653,2329,2687,4149,5217,5555,6063,6646,6676,6098,7097
총범죄,지능범죄,횡령,21:00~23:59,1083,1656,2246,2793,4288,5152,5515,5986,6367,6277,5989,6856
총범죄,지능범죄,횡령,미상,16274,16561,16474,16622,18272,16506,14928,16599,17484,17480,14802,17947
총범죄,지능범죄,배임,00:00~02:59,364,11,14,15,16,14,6,8,3,5,-,-
총범죄,지능범죄,배임,03:00~05:59,5,2,3,3,2,-,2,-,4,-,1,1
총범죄,지능범죄,배임,06:00~08:59,4,3,13,6,2,9,5,6,21,4,30,7
총범죄,지능범죄,배임,09:00~11:59,1079,1007,1346,1107,998,1096,865,731,1123,707,350,276
총범죄,지능범죄,배임,12:00~14:59,154,268,319,302,373,417,240,242,277,235,336,123
총범죄,지능범죄,배임,15:00~17:59,64,55,106,88,77,72,69,57,68,65,56,35
총범죄,지능범죄,배임,18:00~20:59,35,24,34,46,36,37,34,30,39,26,25,26
총범죄,지능범죄,배임,21:00~23:59,14,6,12,18,13,15,17,17,8,15,12,12
총범죄,지능범죄,배임,미상,3006,2853,2770,2871,2772,2698,2468,3253,3023,3035,2656,3126
총범죄,풍속범죄,소계,00:00~02:59,1111,734,781,809,789,979,927,884,920,968,1113,1445
총범죄,풍속범죄,소계,03:00~05:59,504,475,578,546,564,669,723,663,709,685,722,1179
총범죄,풍속범죄,소계,06:00~08:59,447,568,797,938,1199,948,1133,856,887,798,759,963
총범죄,풍속범죄,소계,09:00~11:59,1612,1411,1866,2178,1660,2109,1900,1380,1582,1620,1586,1778
총범죄,풍속범죄,소계,12:00~14:59,1242,1731,1946,2015,1951,2255,2006,1663,1713,1630,1954,2347
총범죄,풍속범죄,소계,15:00~17:59,2945,3278,3249,2946,3168,3181,3142,2579,2577,2524,2582,3358
총범죄,풍속범죄,소계,18:00~20:59,3299,3227,3326,3355,3453,3459,3239,2676,2543,2548,3259,3381
총범죄,풍속범죄,소계,21:00~23:59,3240,3377,3326,3149,3475,3330,3089,2680,2750,2771,2933,3672
총범죄,풍속범죄,소계,미상,14434,10000,11504,9040,8232,9235,6342,6781,7472,9088,8452,8990
총범죄,풍속범죄,성풍속범죄,00:00~02:59,444,374,501,572,525,564,647,703,736,818,949,1352
총범죄,풍속범죄,성풍속범죄,03:00~05:59,202,286,431,386,383,448,542,570,597,591,673,1112
총범죄,풍속범죄,성풍속범죄,06:00~08:59,304,464,720,837,1094,754,911,759,773,733,713,922
총범죄,풍속범죄,성풍속범죄,09:00~11:59,705,961,1472,1584,1182,1133,1309,1156,1126,1174,1323,1614
총범죄,풍속범죄,성풍속범죄,12:00~14:59,378,983,1358,1445,1406,1261,1366,1268,1225,1231,1622,2080
총범죄,풍속범죄,성풍속범죄,15:00~17:59,787,1608,1959,1900,2086,1833,2071,1826,1724,1764,2038,2744
총범죄,풍속범죄,성풍속범죄,18:00~20:59,706,1296,1653,1883,1992,1708,1966,1784,1675,1646,2141,2866
총범죄,풍속범죄,성풍속범죄,21:00~23:59,752,1353,1724,1704,1919,1740,1917,1814,1931,1987,2343,3227
총범죄,풍속범죄,성풍속범죄,미상,9103,7610,9567,6372,5632,3278,3083,4278,3358,4553,5167,6733
총범죄,풍속범죄,도박범죄,00:00~02:59,667,360,280,237,264,415,280,181,184,150,164,93
총범죄,풍속범죄,도박범죄,03:00~05:59,302,189,147,160,181,221,181,93,112,94,49,67
총범죄,풍속범죄,도박범죄,06:00~08:59,143,104,77,101,105,194,222,97,114,65,46,41
총범죄,풍속범죄,도박범죄,09:00~11:59,907,450,394,594,478,976,591,224,456,446,263,164
총범죄,풍속범죄,도박범죄,12:00~14:59,864,748,588,570,545,994,640,395,488,399,332,267
총범죄,풍속범죄,도박범죄,15:00~17:59,2158,1670,1290,1046,1082,1348,1071,753,853,760,544,614
총범죄,풍속범죄,도박범죄,18:00~20:59,2593,1931,1673,1472,1461,1751,1273,892,868,902,1118,515
총범죄,풍속범죄,도박범죄,21:00~23:59,2488,2024,1602,1445,1556,1590,1172,866,819,784,590,445
총범죄,풍속범죄,도박범죄,미상,5331,2390,1937,2668,2600,5957,3259,2503,4114,4535,3285,2257
총범죄,특별경제범죄,소계,00:00~02:59,3721,2573,2545,2768,2830,2527,2105,1973,1688,1527,640,1090
총범죄,특별경제범죄,소계,03:00~05:59,1371,1858,2068,2231,2176,1845,1589,1489,1426,1239,534,804
총범죄,특별경제범죄,소계,06:00~08:59,1194,1549,1832,2024,1841,1875,1444,1307,1333,1329,993,1074
총범죄,특별경제범죄,소계,09:00~11:59,9080,10887,9144,10083,10190,8422,7412,7011,6702,5766,4320,4100
총범죄,특별경제범죄,소계,12:00~14:59,3450,6360,5895,6652,7687,6524,5641,6198,5340,4786,4235,4820
총범죄,특별경제범죄,소계,15:00~17:59,4514,5225,5155,6028,7436,6044,4915,5867,4802,4248,4008,4427
총범죄,특별경제범죄,소계,18:00~20:59,3760,4828,4881,5702,7112,5757,4607,3867,3768,4062,3759,4156
총범죄,특별경제범죄,소계,21:00~23:59,4985,5988,6075,7676,10380,8043,6160,4887,4320,4070,3070,3675
총범죄,특별경제범죄,소계,미상,35951,38887,33424,29744,36677,23988,19483,21395,22021,20799,19149,24469
총범죄,마약범죄,소계,00:00~02:59,170,110,148,121,178,244,307,263,244,333,318,353
총범죄,마약범죄,소계,03:00~05:59,85,87,106,97,135,184,202,155,214,214,246,303
총범죄,마약범죄,소계,06:00~08:59,43,53,66,44,92,145,148,123,151,176,188,218
총범죄,마약범죄,소계,09:00~11:59,259,261,325,312,476,591,671,529,635,753,645,806
총범죄,마약범죄,소계,12:00~14:59,215,292,320,357,578,641,743,724,773,941,758,1035
총범죄,마약범죄,소계,15:00~17:59,340,322,460,484,572,837,853,789,890,1096,808,1155
총범죄,마약범죄,소계,18:00~20:59,352,477,511,548,611,829,843,658,776,832,932,1234
총범죄,마약범죄,소계,21:00~23:59,431,439,466,453,548,732,769,639,674,830,858,1296
총범죄,마약범죄,소계,미상,2265,2227,2196,2409,3221,3126,2965,2633,3681,4011,3335,3931
총범죄,보건범죄,소계,00:00~02:59,879,639,636,480,530,506,508,477,596,704,579,1096
총범죄,보건범죄,소계,03:00~05:59,388,369,378,268,299,270,291,304,404,449,334,501
총범죄,보건범죄,소계,06:00~08:59,107,112,154,146,134,148,108,104,140,162,147,108
총범죄,보건범죄,소계,09:00~11:59,1479,2301,4084,1417,1905,1905,1360,934,880,1159,819,1102
총범죄,보건범죄,소계,12:00~14:59,569,1973,2090,1090,1163,990,864,578,694,794,796,673
총범죄,보건범죄,소계,15:00~17:59,1069,1178,1752,1333,1518,1867,1107,760,1009,1124,1206,768
총범죄,보건범죄,소계,18:00~20:59,857,900,1208,1020,990,980,867,745,893,1045,1089,929
총범죄,보건범죄,소계,21:00~23:59,2171,1882,1967,1735,1693,1570,1504,1382,1747,2041,3321,4458
총범죄,보건범죄,소계,미상,6564,7446,8114,7168,6370,6426,5952,5749,6207,7117,8645,8114
총범죄,환경범죄,소계,00:00~02:59,97,24,19,17,29,21,24,21,42,14,14,49
총범죄,환경범죄,소계,03:00~05:59,27,29,24,26,32,42,35,29,53,23,22,58
총범죄,환경범죄,소계,06:00~08:59,94,122,96,83,80,490,1011,107,117,75,52,115
총범죄,환경범죄,소계,09:00~11:59,439,424,1623,404,747,914,714,770,458,411,468,292
총범죄,환경범죄,소계,12:00~14:59,349,824,490,277,282,501,332,1048,290,263,231,269
총범죄,환경범죄,소계,15:00~17:59,391,358,369,209,305,463,298,241,190,165,172,185
총범죄,환경범죄,소계,18:00~20:59,99,69,66,63,79,62,117,80,90,61,36,48
총범죄,환경범죄,소계,21:00~23:59,83,67,70,57,64,66,80,73,126,74,23,33
총범죄,환경범죄,소계,미상,1070,1211,1378,1400,1337,1790,2268,2422,2511,2482,2638,2428
총범죄,교통범죄,소계,00:00~02:59,56475,42507,41457,41939,42233,40532,36241,29333,24513,23344,15052,18498
총범죄,교통범죄,소계,03:00~05:59,30616,31839,31388,32441,35125,37506,33054,27028,23438,21560,12875,15933
총범죄,교통범죄,소계,06:00~08:59,39598,41865,42961,44610,49475,54513,45162,37387,37189,31329,24317,18566
총범죄,교통범죄,소계,09:00~11:59,43072,44621,49310,53045,59046,66856,53784,42453,44265,39356,33579,21755
총범죄,교통범죄,소계,12:00~14:59,33404,47385,50490,54231,60036,63468,51906,42866,45675,44060,39711,23858
총범죄,교통범죄,소계,15:00~17:59,58581,59278,62000,65612,73760,76556,64011,52436,53506,51132,46110,28128
총범죄,교통범죄,소계,18:00~20:59,70419,75466,76543,79167,83198,84797,71345,60050,58164,56373,52167,35737
총범죄,교통범죄,소계,21:00~23:59,160684,157988,173041,157320,152143,138810,112998,90043,70537,63335,69859,59900
총범죄,교통범죄,소계,미상,43318,41835,46263,45128,41649,37363,32661,26775,20067,18236,14964,18654
총범죄,노동범죄,소계,00:00~02:59,54,30,29,17,22,14,21,9,20,18,2,18
총범죄,노동범죄,소계,03:00~05:59,17,21,14,5,10,11,13,10,41,5,4,44
총범죄,노동범죄,소계,06:00~08:59,10,33,21,13,3,9,7,12,80,7,1,42
총범죄,노동범죄,소계,09:00~11:59,170,245,560,498,222,620,682,131,124,43,34,62
총범죄,노동범죄,소계,12:00~14:59,60,74,59,94,43,73,86,633,125,24,14,39
총범죄,노동범죄,소계,15:00~17:59,60,45,41,61,21,29,71,33,117,17,6,62
총범죄,노동범죄,소계,18:00~20:59,93,73,86,55,25,35,57,26,53,9,15,49
총범죄,노동범죄,소계,21:00~23:59,223,157,166,111,89,87,69,66,78,24,24,46
총범죄,노동범죄,소계,미상,897,713,745,454,710,1579,1856,963,337,209,306,352
총범죄,안보범죄,소계,00:00~02:59,10,5,1,1,4,3,4,-,2,1,3,5
총범죄,안보범죄,소계,03:00~05:59,6,2,1,2,5,2,4,1,-,2,5,3
총범죄,안보범죄,소계,06:00~08:59,1,3,3,1,7,4,5,3,-,2,2,1
총범죄,안보범죄,소계,09:00~11:59,19,13,15,15,14,15,15,15,10,20,18,13
총범죄,안보범죄,소계,12:00~14:59,3,8,14,5,16,6,9,6,18,22,14,12
총범죄,안보범죄,소계,15:00~17:59,8,10,12,6,8,8,7,8,10,10,9,10
총범죄,안보범죄,소계,18:00~20:59,8,5,15,2,9,7,6,3,3,8,6,10
총범죄,안보범죄,소계,21:00~23:59,13,9,4,10,3,7,11,5,6,8,9,7
총범죄,안보범죄,소계,미상,63,54,70,42,55,29,37,28,120,143,140,158
총범죄,선거범죄,소계,00:00~02:59,12,11,5,14,1,10,17,25,-,3,1,24
총범죄,선거범죄,소계,03:00~05:59,4,14,9,15,1,15,18,19,1,7,4,24
총범죄,선거범죄,소계,06:00~08:59,8,49,23,82,24,42,55,94,22,32,10,121
총범죄,선거범죄,소계,09:00~11:59,36,225,72,375,148,168,127,325,121,136,26,297
총범죄,선거범죄,소계,12:00~14:59,19,142,51,191,56,88,76,161,53,79,27,252
총범죄,선거범죄,소계,15:00~17:59,30,124,53,132,38,88,85,141,34,64,22,240
총범죄,선거범죄,소계,18:00~20:59,14,86,33,151,32,92,58,135,38,66,9,171
총범죄,선거범죄,소계,21:00~23:59,2,38,16,69,12,43,47,54,3,26,13,107
총범죄,선거범죄,소계,미상,87,573,136,845,448,472,157,943,339,416,162,1733
총범죄,병역범죄,소계,00:00~02:59,420,11,16,10,25,6,6,1,3,2,1,1
총범죄,병역범죄,소계,03:00~05:59,1,3,2,1,-,-,2,-,1,1,-,1
총범죄,병역범죄,소계,06:00~08:59,81,44,36,42,32,23,30,41,20,8,5,17
총범죄,병역범죄,소계,09:00~11:59,3288,4085,4473,3941,3017,2534,2206,1752,1440,370,131,584
총범죄,병역범죄,소계,12:00~14:59,245,775,822,777,720,610,363,254,285,116,80,166
총범죄,병역범죄,소계,15:00~17:59,106,106,167,88,119,89,57,58,55,17,8,19
총범죄,병역범죄,소계,18:00~20:59,99,108,113,78,59,80,56,58,58,20,12,21
총범죄,병역범죄,소계,21:00~23:59,44,28,26,39,30,35,40,29,19,10,12,22
총범죄,병역범죄,소계,미상,16303,17983,20518,16573,14724,13274,12567,12078,10831,3301,1574,3807
총범죄,기타범죄,소계,00:00~02:59,14734,10288,9820,10233,10602,12672,10852,10132,10376,9487,7833,8974
총범죄,기타범죄,소계,03:00~05:59,7803,7909,11610,7587,8094,11835,9598,9034,9184,10760,8443,11831
총범죄,기타범죄,소계,06:00~08:59,7025,7605,8205,5772,9178,11130,10891,10058,9935,10899,11811,12968
총범죄,기타범죄,소계,09:00~11:59,23116,23482,31332,24224,29494,42558,34691,28767,31337,30333,25841,25514
총범죄,기타범죄,소계,12:00~14:59,10263,15235,15852,13906,18949,24120,22644,18447,22841,24228,23204,28169
총범죄,기타범죄,소계,15:00~17:59,16092,15383,14468,14182,18350,26776,23500,18912,20037,21210,21099,24970
총범죄,기타범죄,소계,18:00~20:59,14323,13858,13865,14135,16976,24349,20865,17347,18200,19093,21603,21515
총범죄,기타범죄,소계,21:00~23:59,22623,21248,22317,23364,24489,31567,27711,22505,22421,21458,21993,23540
총범죄,기타범죄,소계,미상,60378,59259,61487,67123,80065,75532,74119,86660,95837,94361,101255,110483
