죄종별(1),죄종별(2),죄종별(3),범죄발생장소별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,소계,소계,아파트 연립다세대,59344,52509,77667,60265,62187,63578,58288,82841,96879,100386,106001,108301
총범죄,소계,소계,단독주택,85371,77671,106024,79371,82428,74128,64757,81199,84895,79936,71347,69742
총범죄,소계,소계,고속도로,4942,4254,3659,4305,4481,5111,6992,6714,7762,7358,8152,10233
총범죄,소계,소계,노상,709011,689785,827395,786803,814101,840857,726140,644537,625533,603582,551630,501535
총범죄,소계,소계,백화점,2055,1987,3146,2480,2534,2614,2466,3546,4155,3471,2808,3047
총범죄,소계,소계,슈퍼마켓,6626,5926,10951,7458,7871,7448,6977,9782,11221,12751,12965,14738
총범죄,소계,소계,편의점,6941,6995,12259,10863,11047,10780,10780,13548,14355,14697,15489,16435
총범죄,소계,소계,대형할인매장,3448,3335,3551,2648,2570,2464,2109,3001,3341,3691,3912,4138
총범죄,소계,소계,상점,34555,28977,42924,28373,27573,26906,22449,33272,33591,31629,30962,35593
총범죄,소계,소계,시장노점,12632,10504,16447,10657,9897,9061,8131,13825,14809,12757,11232,11355
총범죄,소계,소계,숙박업소 목욕탕,22667,22209,31710,18240,16451,17939,15958,21980,21813,18739,17344,17055
총범죄,소계,소계,유흥접객업소,100724,84848,123372,88059,80005,78537,74799,112928,114046,99040,60838,79990
총범죄,소계,소계,사무실,136437,128343,142511,126828,121264,113617,104893,109388,108077,99958,77461,74327
총범죄,소계,소계,공장,13051,12948,13991,10648,10240,8650,8627,8843,8295,7895,7105,6305
총범죄,소계,소계,공사장광산,8504,8036,10967,7551,7221,7539,8028,8700,7870,6804,5598,5813
총범죄,소계,소계,창고,3363,2794,4258,2514,3112,2535,1911,2221,2446,2135,2041,3614
총범죄,소계,소계,역대합실,5867,4075,11361,6619,7525,5180,6066,8527,9735,8156,8538,10367
총범죄,소계,소계,지하철,2329,1783,2723,2477,3032,2839,3123,3903,3957,3088,2946,3589
총범죄,소계,소계,기타교통수단내,16866,16404,26222,9998,12143,10199,10644,17454,19256,15955,14245,15778
총범죄,소계,소계,흥행장,2136,2002,2483,1509,1432,1260,1327,1893,2200,1534,1261,1657
총범죄,소계,소계,유원지,4376,4717,7097,5618,5989,5677,5203,6770,7288,6071,5824,6521
총범죄,소계,소계,학교,5801,7801,8798,5895,5591,5084,5155,6606,7179,4375,4983,6306
총범죄,소계,소계,금융기관,30858,28095,30709,26212,22402,17904,18682,21032,19867,12128,6734,5977
총범죄,소계,소계,의료기관,10793,9856,11552,10232,9587,9579,9443,11749,11979,10612,9144,8782
총범죄,소계,소계,종교기관,3197,2895,3789,3185,2919,2691,2753,3561,3263,2259,1818,1828
총범죄,소계,소계,산야,8665,7804,9701,8475,8642,8429,8680,9003,9878,9871,9579,9127
총범죄,소계,소계,해상,14124,12280,14870,5377,15779,16266,15460,17106,20287,25483,16450,21215
총범죄,소계,소계,부대,4499,4624,5862,4474,3600,3131,2720,2642,2266,733,349,1026
총범죄,소계,소계,구금장소,27,34,50,70,101,107,113,128,111,119,128,129
총범죄,소계,소계,공지,896,576,744,381,287,237,239,331,339,253,210,218
총범죄,소계,소계,주차장,26021,20637,32775,24999,24331,23259,20936,24795,26356,27839,26553,27321
총범죄,소계,소계,공중화장실,1526,1662,3271,1795,1981,2050,2081,4224,4529,3852,3154,3528
총범죄,소계,소계,PC방,13233,11153,13387,7543,7790,7177,5339,7485,6917,5310,3652,3585
총범죄,소계,소계,기타,391713,515881,241050,407044,465544,456617,421072,277217,297411,345399,329373,393258
총범죄,강력범죄,소계,아파트 연립다세대,2762,2408,3363,2670,2504,2545,2759,3570,3892,3892,4212,4176
총범죄,강력범죄,소계,단독주택,3238,2642,3429,2787,2703,2545,2391,3017,2725,2710,2707,2529
총범죄,강력범죄,소계,고속도로,19,12,13,17,23,18,19,21,18,11,21,14
총범죄,강력범죄,소계,노상,4181,3686,5575,4469,4232,4183,4199,3895,3932,3470,3170,3810
총범죄,강력범죄,소계,백화점,16,9,15,11,16,12,20,35,28,28,23,35
총범죄,강력범죄,소계,슈퍼마켓,101,64,142,99,76,81,75,133,105,122,132,106
총범죄,강력범죄,소계,편의점,382,343,448,322,323,266,306,381,360,364,273,319
총범죄,강력범죄,소계,대형할인매장,24,18,19,16,10,10,14,25,24,16,17,14
총범죄,강력범죄,소계,상점,353,251,434,277,251,271,291,421,494,493,477,480
총범죄,강력범죄,소계,시장노점,175,119,228,145,136,159,122,268,273,276,197,210
총범죄,강력범죄,소계,숙박업소 목욕탕,2801,2409,3580,2454,2336,2187,2338,2927,3082,2861,2810,2801
총범죄,강력범죄,소계,유흥접객업소,1704,1471,2452,2187,2119,2400,2585,4003,4233,3858,2157,3176
총범죄,강력범죄,소계,사무실,484,436,601,586,580,586,529,647,590,666,721,684
총범죄,강력범죄,소계,공장,73,54,98,69,62,71,72,76,83,62,91,67
총범죄,강력범죄,소계,공사장광산,29,32,26,16,16,28,27,34,26,30,23,23
총범죄,강력범죄,소계,창고,50,33,43,33,33,26,33,32,25,27,29,24
총범죄,강력범죄,소계,역대합실,161,183,334,243,284,299,367,444,432,303,328,329
총범죄,강력범죄,소계,지하철,929,474,614,618,790,787,1047,842,879,507,605,722
총범죄,강력범죄,소계,기타교통수단내,838,757,1418,1043,976,1157,1143,1490,1470,1344,1093,1226
총범죄,강력범죄,소계,흥행장,37,37,67,57,53,57,75,107,115,97,95,101
총범죄,강력범죄,소계,유원지,228,216,325,271,297,286,287,296,301,240,244,305
총범죄,강력범죄,소계,학교,159,183,261,273,310,327,375,388,384,224,286,373
총범죄,강력범죄,소계,금융기관,41,19,32,20,31,19,27,31,18,27,13,26
총범죄,강력범죄,소계,의료기관,177,154,266,242,266,272,277,310,397,396,438,353
총범죄,강력범죄,소계,종교기관,83,66,91,88,93,73,81,92,87,73,52,58
총범죄,강력범죄,소계,산야,118,95,126,94,97,93,64,78,93,59,64,70
총범죄,강력범죄,소계,해상,8,7,10,4,9,9,11,217,7,12,8,9
총범죄,강력범죄,소계,부대,4,5,4,7,7,11,15,17,14,18,13,21
총범죄,강력범죄,소계,구금장소,2,-,6,3,7,7,7,12,12,13,8,11
총범죄,강력범죄,소계,공지,10,9,11,5,5,7,3,5,7,2,3,3
총범죄,강력범죄,소계,주차장,394,280,350,285,255,244,224,260,225,233,188,230
총범죄,강력범죄,소계,공중화장실,229,207,290,161,158,169,138,190,168,143,134,142
총범죄,강력범죄,소계,PC방,65,60,74,59,52,63,51,69,73,61,38,49
총범죄,강력범죄,소계,기타,6824,8413,2217,5646,6224,6497,7302,2454,1904,1694,1806,2458
총범죄,강력범죄,살인기수,아파트 연립다세대,123,103,97,95,84,83,95,96,111,111,92,114
총범죄,강력범죄,살인기수,단독주택,103,89,101,95,101,101,71,85,64,80,57,60
총범죄,강력범죄,살인기수,고속도로,1,1,-,-,-,-,1,-,-,-,1,-
총범죄,강력범죄,살인기수,노상,46,52,36,59,43,28,24,27,30,42,43,28
총범죄,강력범죄,살인기수,백화점,-,-,-,-,-,-,1,-,-,-,-,-
총범죄,강력범죄,살인기수,슈퍼마켓,-,-,-,1,1,1,-,-,-,-,-,-
총범죄,강력범죄,살인기수,편의점,1,-,1,1,1,-,-,1,-,-,-,1
총범죄,강력범죄,살인기수,대형할인매장,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인기수,상점,3,3,1,2,1,2,-,2,5,2,-,1
총범죄,강력범죄,살인기수,시장노점,3,-,1,-,-,-,1,-,-,2,-,1
총범죄,강력범죄,살인기수,숙박업소 목욕탕,25,19,15,21,16,22,14,12,17,7,19,9
총범죄,강력범죄,살인기수,유흥접객업소,15,20,9,12,11,15,13,16,11,6,5,8
총범죄,강력범죄,살인기수,사무실,12,4,11,8,5,2,6,5,4,7,5,8
총범죄,강력범죄,살인기수,공장,3,1,4,4,1,2,1,3,1,2,3,1
총범죄,강력범죄,살인기수,공사장광산,1,1,-,1,-,-,-,1,-,1,2,-
총범죄,강력범죄,살인기수,창고,2,1,-,1,-,-,1,1,-,1,-,-
총범죄,강력범죄,살인기수,역대합실,-,1,2,1,-,-,-,-,1,-,-,1
총범죄,강력범죄,살인기수,지하철,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인기수,기타교통수단내,2,8,5,3,6,8,3,8,3,5,7,3
총범죄,강력범죄,살인기수,흥행장,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인기수,유원지,2,3,5,-,2,4,3,2,-,1,1,3
총범죄,강력범죄,살인기수,학교,-,1,-,-,1,-,1,-,-,-,-,1
총범죄,강력범죄,살인기수,금융기관,-,-,-,-,-,-,-,-,-,1,-,-
총범죄,강력범죄,살인기수,의료기관,16,7,6,6,9,6,3,5,18,8,10,7
총범죄,강력범죄,살인기수,종교기관,2,3,2,1,1,2,2,1,-,3,-,1
총범죄,강력범죄,살인기수,산야,4,10,11,8,1,10,6,7,11,5,2,3
총범죄,강력범죄,살인기수,해상,1,1,2,1,3,5,3,1,2,-,1,3
총범죄,강력범죄,살인기수,부대,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인기수,구금장소,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인기수,공지,-,-,-,-,-,-,-,-,1,1,-,-
총범죄,강력범죄,살인기수,주차장,8,5,4,7,6,10,2,5,4,2,2,5
총범죄,강력범죄,살인기수,공중화장실,1,1,2,-,-,1,-,1,-,1,-,-
총범죄,강력범죄,살인기수,PC방,-,1,-,1,-,-,-,1,1,-,1,-
총범죄,강력범죄,살인기수,기타,53,76,27,44,72,54,50,29,13,20,19,17
총범죄,강력범죄,살인미수등,아파트 연립다세대,97,88,104,90,92,79,85,117,116,99,116,123
총범죄,강력범죄,살인미수등,단독주택,163,74,130,102,88,88,90,107,110,92,67,85
총범죄,강력범죄,살인미수등,고속도로,-,2,2,3,-,1,1,1,-,-,1,-
총범죄,강력범죄,살인미수등,노상,171,112,143,126,134,128,112,101,114,96,87,105
총범죄,강력범죄,살인미수등,백화점,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인미수등,슈퍼마켓,-,3,3,-,2,1,1,3,-,1,3,1
총범죄,강력범죄,살인미수등,편의점,2,3,1,1,-,-,-,3,3,1,3,-
총범죄,강력범죄,살인미수등,대형할인매장,1,-,-,-,-,-,-,1,-,1,-,1
총범죄,강력범죄,살인미수등,상점,12,3,11,3,7,3,2,5,1,6,3,4
총범죄,강력범죄,살인미수등,시장노점,7,3,1,4,4,3,-,2,1,3,1,-
총범죄,강력범죄,살인미수등,숙박업소 목욕탕,16,10,18,16,8,7,20,16,10,10,11,5
총범죄,강력범죄,살인미수등,유흥접객업소,65,36,64,25,31,34,27,42,38,30,28,24
총범죄,강력범죄,살인미수등,사무실,20,30,22,14,16,17,15,21,9,16,11,13
총범죄,강력범죄,살인미수등,공장,5,3,3,4,1,3,2,2,4,1,2,2
총범죄,강력범죄,살인미수등,공사장광산,1,-,2,-,-,1,-,3,1,-,3,-
총범죄,강력범죄,살인미수등,창고,2,-,-,1,1,2,1,2,-,-,-,1
총범죄,강력범죄,살인미수등,역대합실,-,2,2,4,1,2,1,2,2,1,1,1
총범죄,강력범죄,살인미수등,지하철,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인미수등,기타교통수단내,19,12,16,9,9,5,4,9,8,2,1,8
총범죄,강력범죄,살인미수등,흥행장,2,-,1,-,-,-,-,2,-,-,-,-
총범죄,강력범죄,살인미수등,유원지,7,4,4,2,7,5,2,2,9,3,1,2
총범죄,강력범죄,살인미수등,학교,1,2,2,2,2,1,-,1,1,-,1,-
총범죄,강력범죄,살인미수등,금융기관,-,1,-,-,-,1,1,1,-,-,-,1
총범죄,강력범죄,살인미수등,의료기관,10,4,6,6,5,8,6,12,7,8,9,6
총범죄,강력범죄,살인미수등,종교기관,5,1,1,2,3,2,1,2,1,1,1,1
총범죄,강력범죄,살인미수등,산야,2,5,3,6,4,5,1,2,6,2,2,3
총범죄,강력범죄,살인미수등,해상,3,-,1,1,2,1,2,-,1,3,-,-
총범죄,강력범죄,살인미수등,부대,-,-,-,-,-,-,-,1,-,-,-,-
총범죄,강력범죄,살인미수등,구금장소,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,살인미수등,공지,-,1,2,-,-,-,-,1,-,-,-,-
총범죄,강력범죄,살인미수등,주차장,11,10,8,5,11,15,7,4,13,11,7,5
총범죄,강력범죄,살인미수등,공중화장실,2,-,-,-,2,1,1,1,-,1,1,2
총범죄,강력범죄,살인미수등,PC방,1,-,-,2,-,-,-,-,2,-,-,1
총범죄,강력범죄,살인미수등,기타,152,175,37,113,134,145,142,22,25,28,28,33
총범죄,강력범죄,강도,아파트 연립다세대,323,141,169,138,97,74,82,78,106,77,78,62
총범죄,강력범죄,강도,단독주택,413,238,222,182,143,114,86,83,89,54,47,46
총범죄,강력범죄,강도,고속도로,4,1,1,2,3,2,1,-,1,1,1,-
총범죄,강력범죄,강도,노상,1078,628,630,423,408,339,261,252,221,164,114,141
총범죄,강력범죄,강도,백화점,5,1,1,-,1,1,-,1,-,1,2,-
총범죄,강력범죄,강도,슈퍼마켓,57,30,41,26,11,23,14,16,10,17,10,12
총범죄,강력범죄,강도,편의점,291,257,246,154,157,85,83,82,73,68,39,32
총범죄,강력범죄,강도,대형할인매장,10,6,4,1,3,1,1,3,3,1,3,1
총범죄,강력범죄,강도,상점,125,73,69,36,31,34,21,35,29,28,32,27
총범죄,강력범죄,강도,시장노점,24,10,19,10,7,6,5,1,8,15,3,4
총범죄,강력범죄,강도,숙박업소 목욕탕,195,85,101,89,109,68,71,80,79,63,47,48
총범죄,강력범죄,강도,유흥접객업소,257,132,142,101,85,75,62,56,53,61,27,42
총범죄,강력범죄,강도,사무실,111,32,50,33,32,30,24,23,21,19,15,13
총범죄,강력범죄,강도,공장,12,5,1,3,5,3,2,3,1,-,2,3
총범죄,강력범죄,강도,공사장광산,3,2,2,3,2,2,1,2,-,2,-,2
총범죄,강력범죄,강도,창고,6,2,3,-,1,1,1,1,3,1,1,-
총범죄,강력범죄,강도,역대합실,15,9,3,3,2,1,2,3,4,1,2,5
총범죄,강력범죄,강도,지하철,3,2,-,1,1,-,-,-,1,-,-,1
총범죄,강력범죄,강도,기타교통수단내,62,47,44,13,23,22,15,11,13,19,8,15
총범죄,강력범죄,강도,흥행장,4,2,3,-,-,-,1,1,-,-,-,-
총범죄,강력범죄,강도,유원지,29,18,12,21,7,7,6,5,7,6,3,-
총범죄,강력범죄,강도,학교,14,7,6,2,2,3,5,1,-,1,1,-
총범죄,강력범죄,강도,금융기관,21,9,13,12,16,3,10,15,4,2,2,2
총범죄,강력범죄,강도,의료기관,4,9,13,8,2,5,1,2,6,1,3,-
총범죄,강력범죄,강도,종교기관,11,1,11,6,4,1,5,3,1,1,1,-
총범죄,강력범죄,강도,산야,16,6,8,4,12,6,7,4,7,4,4,3
총범죄,강력범죄,강도,해상,-,-,-,-,-,-,1,2,-,-,-,-
총범죄,강력범죄,강도,부대,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강도,구금장소,1,-,3,-,-,-,-,-,-,-,-,1
총범죄,강력범죄,강도,공지,1,-,1,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강도,주차장,102,48,45,44,32,28,18,9,9,19,10,21
총범죄,강력범죄,강도,공중화장실,16,5,10,2,4,3,4,3,1,-,3,1
총범죄,강력범죄,강도,PC방,20,17,11,6,5,10,5,6,5,3,1,4
총범죄,강력범죄,강도,기타,761,764,96,263,241,202,172,40,43,34,36,30
총범죄,강력범죄,강간·강제추행,아파트 연립다세대,1882,1866,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,단독주택,2221,1963,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,고속도로,13,8,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,노상,2658,2699,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,백화점,11,6,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,슈퍼마켓,38,28,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,편의점,87,82,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,대형할인매장,13,12,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,상점,154,145,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,시장노점,110,77,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,숙박업소 목욕탕,2520,2271,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,유흥접객업소,1283,1239,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,사무실,276,307,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,공장,29,29,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,공사장광산,15,14,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,창고,23,18,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,역대합실,144,167,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,지하철,923,471,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,기타교통수단내,736,680,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,흥행장,31,32,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,유원지,165,183,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,학교,124,163,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,금융기관,12,5,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,의료기관,130,122,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,종교기관,52,45,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,산야,73,65,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,해상,2,5,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,부대,4,5,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,구금장소,1,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,공지,7,8,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,주차장,204,162,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,공중화장실,203,195,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,PC방,41,40,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간·강제추행,기타,5313,6558,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간,아파트 연립다세대,-,-,1070,882,908,1027,1030,1308,1432,1516,1561,1616
총범죄,강력범죄,강간,단독주택,-,-,1179,954,994,938,896,1074,999,958,976,880
총범죄,강력범죄,강간,고속도로,-,-,3,-,1,3,1,-,-,3,2,-
총범죄,강력범죄,강간,노상,-,-,340,249,243,199,184,160,158,157,127,158
총범죄,강력범죄,강간,백화점,-,-,-,-,-,1,-,2,1,-,-,-
총범죄,강력범죄,강간,슈퍼마켓,-,-,1,-,1,1,3,2,1,-,-,2
총범죄,강력범죄,강간,편의점,-,-,8,4,5,3,4,3,7,5,1,3
총범죄,강력범죄,강간,대형할인매장,-,-,-,-,-,-,-,1,-,-,-,-
총범죄,강력범죄,강간,상점,-,-,39,32,35,27,16,39,27,42,33,33
총범죄,강력범죄,강간,시장노점,-,-,16,19,19,13,10,17,21,15,15,19
총범죄,강력범죄,강간,숙박업소 목욕탕,-,-,1869,1447,1364,1319,1411,1582,1687,1690,1692,1644
총범죄,강력범죄,강간,유흥접객업소,-,-,314,281,255,269,224,282,297,256,158,196
총범죄,강력범죄,강간,사무실,-,-,79,58,62,66,38,49,42,58,41,55
총범죄,강력범죄,강간,공장,-,-,5,4,3,7,2,5,5,2,2,2
총범죄,강력범죄,강간,공사장광산,-,-,4,2,-,3,4,2,2,-,1,2
총범죄,강력범죄,강간,창고,-,-,5,12,5,6,2,3,4,4,5,3
총범죄,강력범죄,강간,역대합실,-,-,2,3,2,1,3,2,-,2,1,2
총범죄,강력범죄,강간,지하철,-,-,-,-,-,1,-,-,-,1,-,-
총범죄,강력범죄,강간,기타교통수단내,-,-,140,122,124,135,115,130,135,146,136,131
총범죄,강력범죄,강간,흥행장,-,-,4,6,1,4,-,6,4,7,2,1
총범죄,강력범죄,강간,유원지,-,-,41,37,30,24,24,22,25,15,17,20
총범죄,강력범죄,강간,학교,-,-,28,21,28,25,26,25,16,12,16,15
총범죄,강력범죄,강간,금융기관,-,-,1,1,1,-,1,-,-,-,-,-
총범죄,강력범죄,강간,의료기관,-,-,24,24,18,11,13,16,15,18,15,11
총범죄,강력범죄,강간,종교기관,-,-,13,21,22,12,14,8,14,10,8,7
총범죄,강력범죄,강간,산야,-,-,40,34,26,24,9,17,8,12,8,9
총범죄,강력범죄,강간,해상,-,-,1,-,-,-,-,1,-,1,-,-
총범죄,강력범죄,강간,부대,-,-,-,2,-,-,-,-,1,-,1,1
총범죄,강력범죄,강간,구금장소,-,-,1,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간,공지,-,-,3,3,2,2,3,2,1,-,1,1
총범죄,강력범죄,강간,주차장,-,-,70,52,57,47,48,54,37,37,20,45
총범죄,강력범죄,강간,공중화장실,-,-,72,42,46,56,47,62,59,44,43,48
총범죄,강력범죄,강간,PC방,-,-,6,3,6,5,2,1,2,3,4,3
총범죄,강력범죄,강간,기타,-,-,375,763,893,926,1093,418,310,299,377,560
총범죄,강력범죄,유사강간,아파트 연립다세대,-,-,21,68,73,101,138,176,209,229,247,240
총범죄,강력범죄,유사강간,단독주택,-,-,24,63,80,88,99,173,134,131,147,147
총범죄,강력범죄,유사강간,고속도로,-,-,-,-,1,-,-,-,-,-,-,2
총범죄,강력범죄,유사강간,노상,-,-,10,30,42,36,36,33,45,43,36,57
총범죄,강력범죄,유사강간,백화점,-,-,-,-,-,-,-,-,1,-,-,1
총범죄,강력범죄,유사강간,슈퍼마켓,-,-,1,-,2,-,-,1,1,-,-,-
총범죄,강력범죄,유사강간,편의점,-,-,-,-,-,-,1,1,-,3,2,-
총범죄,강력범죄,유사강간,대형할인매장,-,-,-,-,-,1,-,-,-,-,-,-
총범죄,강력범죄,유사강간,상점,-,-,1,2,3,3,2,2,7,11,10,9
총범죄,강력범죄,유사강간,시장노점,-,-,-,2,4,2,2,6,5,4,6,8
총범죄,강력범죄,유사강간,숙박업소 목욕탕,-,-,20,47,71,81,107,117,153,179,170,184
총범죄,강력범죄,유사강간,유흥접객업소,-,-,9,36,42,42,44,69,81,55,38,55
총범죄,강력범죄,유사강간,사무실,-,-,4,9,13,9,10,6,11,12,9,26
총범죄,강력범죄,유사강간,공장,-,-,-,-,-,-,-,-,1,1,1,1
총범죄,강력범죄,유사강간,공사장광산,-,-,-,-,1,1,1,2,-,-,-,1
