죄종별(1),죄종별(2),죄종별(3),범죄발생장소별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,강력범죄,유사강간,창고,-,-,2,-,-,-,-,-,-,2,1,-
총범죄,강력범죄,유사강간,역대합실,-,-,-,-,1,-,1,-,1,-,-,-
총범죄,강력범죄,유사강간,지하철,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,기타교통수단내,-,-,6,16,12,16,22,51,20,43,32,47
총범죄,강력범죄,유사강간,흥행장,-,-,1,-,-,-,-,-,1,-,-,2
총범죄,강력범죄,유사강간,유원지,-,-,3,5,6,3,7,7,6,9,10,8
총범죄,강력범죄,유사강간,학교,-,-,2,3,19,12,10,7,14,6,8,8
총범죄,강력범죄,유사강간,금융기관,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,의료기관,-,-,2,2,5,12,5,8,10,10,12,11
총범죄,강력범죄,유사강간,종교기관,-,-,2,1,1,2,-,4,-,2,2,2
총범죄,강력범죄,유사강간,산야,-,-,1,1,6,1,1,1,1,1,1,5
총범죄,강력범죄,유사강간,해상,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,부대,-,-,-,-,-,-,-,-,1,1,-,-
총범죄,강력범죄,유사강간,구금장소,-,-,-,-,-,-,-,1,3,2,1,2
총범죄,강력범죄,유사강간,공지,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,유사강간,주차장,-,-,3,12,7,10,12,14,6,7,11,7
총범죄,강력범죄,유사강간,공중화장실,-,-,5,11,18,33,11,13,19,8,9,12
총범죄,강력범죄,유사강간,PC방,-,-,2,1,-,1,-,1,1,-,1,1
총범죄,강력범죄,유사강간,기타,-,-,13,66,111,129,127,83,51,64,60,111
총범죄,강력범죄,강제추행,아파트 연립다세대,-,-,1098,902,900,887,1060,1347,1477,1492,1761,1619
총범죄,강력범죄,강제추행,단독주택,-,-,940,790,842,851,840,1053,934,1012,1096,983
총범죄,강력범죄,강제추행,고속도로,-,-,7,11,18,12,15,20,17,7,16,11
총범죄,강력범죄,강제추행,노상,-,-,4030,3324,3121,3218,3390,3071,3108,2772,2602,3098
총범죄,강력범죄,강제추행,백화점,-,-,11,9,15,9,19,32,25,25,21,34
총범죄,강력범죄,강제추행,슈퍼마켓,-,-,87,66,56,55,54,110,92,101,117,86
총범죄,강력범죄,강제추행,편의점,-,-,183,158,157,176,218,285,275,283,226,277
총범죄,강력범죄,강제추행,대형할인매장,-,-,14,13,5,7,13,19,19,14,14,11
총범죄,강력범죄,강제추행,상점,-,-,264,175,152,187,237,309,399,384,378,373
총범죄,강력범죄,강제추행,시장노점,-,-,137,75,89,117,97,211,210,205,153,150
총범죄,강력범죄,강제추행,숙박업소 목욕탕,-,-,1204,671,656,612,670,1039,1039,827,803,843
총범죄,강력범죄,강제추행,유흥접객업소,-,-,1774,1639,1636,1906,2170,3456,3682,3383,1865,2803
총범죄,강력범죄,강제추행,사무실,-,-,370,411,396,414,406,490,456,507,608,529
총범죄,강력범죄,강제추행,공장,-,-,52,33,32,46,46,40,52,43,64,44
총범죄,강력범죄,강제추행,공사장광산,-,-,9,6,9,11,8,12,17,17,11,12
총범죄,강력범죄,강제추행,창고,-,-,10,6,7,7,14,12,11,11,10,9
총범죄,강력범죄,강제추행,역대합실,-,-,315,222,270,293,359,432,420,296,321,313
총범죄,강력범죄,강제추행,지하철,-,-,613,610,788,786,1046,840,876,505,604,720
총범죄,강력범죄,강제추행,기타교통수단내,-,-,1155,860,793,957,972,1260,1285,1123,904,1017
총범죄,강력범죄,강제추행,흥행장,-,-,54,50,51,53,72,98,107,90,93,95
총범죄,강력범죄,강제추행,유원지,-,-,224,180,222,222,224,243,239,193,191,258
총범죄,강력범죄,강제추행,학교,-,-,187,227,249,276,317,340,338,190,251,340
총범죄,강력범죄,강제추행,금융기관,-,-,15,6,8,13,11,11,12,19,10,18
총범죄,강력범죄,강제추행,의료기관,-,-,190,179,208,220,238,245,327,338,376,301
총범죄,강력범죄,강제추행,종교기관,-,-,40,39,46,38,45,57,61,43,31,45
총범죄,강력범죄,강제추행,산야,-,-,37,26,36,34,26,28,27,21,30,32
총범죄,강력범죄,강제추행,해상,-,-,1,1,1,1,3,1,3,6,2,2
총범죄,강력범죄,강제추행,부대,-,-,4,5,7,11,15,16,12,17,12,20
총범죄,강력범죄,강제추행,구금장소,-,-,2,3,7,7,7,11,9,11,7,8
총범죄,강력범죄,강제추행,공지,-,-,1,2,1,3,-,1,-,1,2,-
총범죄,강력범죄,강제추행,주차장,-,-,139,110,106,96,101,121,114,121,98,114
총범죄,강력범죄,강제추행,공중화장실,-,-,139,66,72,66,61,84,70,76,66,65
총범죄,강력범죄,강제추행,PC방,-,-,54,43,39,46,44,58,59,53,31,37
총범죄,강력범죄,강제추행,기타,-,-,1418,3693,4064,4417,5149,1701,1348,1158,1188,1597
총범죄,강력범죄,기타 강간·강제추행등,아파트 연립다세대,-,-,425,234,97,86,64,96,88,77,78,71
총범죄,강력범죄,기타 강간·강제추행등,단독주택,-,-,474,280,164,93,80,92,96,64,71,54
총범죄,강력범죄,기타 강간·강제추행등,고속도로,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,노상,-,-,92,48,37,33,17,24,15,15,8,16
총범죄,강력범죄,기타 강간·강제추행등,백화점,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,슈퍼마켓,-,-,1,2,1,-,2,-,1,-,1,-
총범죄,강력범죄,기타 강간·강제추행등,편의점,-,-,5,3,-,-,-,-,-,1,1,-
총범죄,강력범죄,기타 강간·강제추행등,대형할인매장,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,상점,-,-,9,9,4,3,3,2,6,-,2,2
총범죄,강력범죄,기타 강간·강제추행등,시장노점,-,-,3,5,1,4,-,5,1,1,1,2
총범죄,강력범죄,기타 강간·강제추행등,숙박업소 목욕탕,-,-,299,137,82,59,31,53,49,39,28,27
총범죄,강력범죄,기타 강간·강제추행등,유흥접객업소,-,-,56,28,13,16,9,13,12,11,8,12
총범죄,강력범죄,기타 강간·강제추행등,사무실,-,-,16,6,4,2,1,5,-,-,1,4
총범죄,강력범죄,기타 강간·강제추행등,공장,-,-,2,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,공사장광산,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,창고,-,-,-,4,1,-,-,-,1,-,-,1
총범죄,강력범죄,기타 강간·강제추행등,역대합실,-,-,3,2,-,-,-,1,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,지하철,-,-,-,2,-,-,-,-,1,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,기타교통수단내,-,-,40,17,9,10,9,15,3,1,3,3
총범죄,강력범죄,기타 강간·강제추행등,흥행장,-,-,3,-,1,-,1,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,유원지,-,-,16,9,6,2,8,4,5,-,1,3
총범죄,강력범죄,기타 강간·강제추행등,학교,-,-,20,13,3,6,5,5,6,4,2,4
총범죄,강력범죄,기타 강간·강제추행등,금융기관,-,-,-,1,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,의료기관,-,-,18,1,2,1,3,2,2,-,1,2
총범죄,강력범죄,기타 강간·강제추행등,종교기관,-,-,4,2,6,2,-,3,3,-,1,-
총범죄,강력범죄,기타 강간·강제추행등,산야,-,-,9,4,2,4,3,2,4,1,2,-
총범죄,강력범죄,기타 강간·강제추행등,해상,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,부대,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,구금장소,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,공지,-,-,2,-,-,1,-,-,-,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,주차장,-,-,11,8,6,4,1,2,2,3,4,1
총범죄,강력범죄,기타 강간·강제추행등,공중화장실,-,-,40,16,14,5,8,8,8,4,3,6
총범죄,강력범죄,기타 강간·강제추행등,PC방,-,-,1,1,1,-,-,2,1,-,-,-
총범죄,강력범죄,기타 강간·강제추행등,기타,-,-,98,159,104,77,59,22,21,16,22,17
총범죄,강력범죄,방화,아파트 연립다세대,337,210,379,261,253,208,205,352,353,291,279,331
총범죄,강력범죄,방화,단독주택,338,278,359,321,291,272,229,350,299,319,246,274
총범죄,강력범죄,방화,고속도로,1,-,-,1,-,-,-,-,-,-,-,1
총범죄,강력범죄,방화,노상,228,195,294,210,204,202,175,227,241,181,153,207
총범죄,강력범죄,방화,백화점,-,2,3,2,-,1,-,-,1,2,-,-
총범죄,강력범죄,방화,슈퍼마켓,6,3,8,4,2,-,1,1,-,3,1,5
총범죄,강력범죄,방화,편의점,1,1,4,1,3,2,-,6,2,3,1,6
총범죄,강력범죄,방화,대형할인매장,-,-,1,2,2,1,-,1,2,-,-,1
총범죄,강력범죄,방화,상점,59,27,40,18,18,12,10,27,20,20,19,31
총범죄,강력범죄,방화,시장노점,31,29,51,30,12,14,7,26,27,31,18,26
총범죄,강력범죄,방화,숙박업소 목욕탕,45,24,54,26,30,19,14,28,48,46,40,41
총범죄,강력범죄,방화,유흥접객업소,84,44,84,65,46,43,36,69,59,56,28,36
총범죄,강력범죄,방화,사무실,65,63,49,47,52,46,29,48,47,47,31,36
총범죄,강력범죄,방화,공장,24,16,31,21,20,10,19,23,19,13,17,14
총범죄,강력범죄,방화,공사장광산,9,15,9,4,4,10,13,12,6,10,6,6
총범죄,강력범죄,방화,창고,17,12,23,9,18,10,14,13,6,8,12,10
총범죄,강력범죄,방화,역대합실,2,4,7,8,8,2,1,4,4,3,3,7
총범죄,강력범죄,방화,지하철,3,1,1,5,1,-,1,2,1,1,1,1
총범죄,강력범죄,방화,기타교통수단내,19,10,12,3,-,4,3,6,3,5,2,2
총범죄,강력범죄,방화,흥행장,-,3,1,1,-,-,1,-,3,-,-,3
총범죄,강력범죄,방화,유원지,25,8,20,17,17,19,13,11,10,13,20,11
총범죄,강력범죄,방화,학교,20,10,16,5,6,4,11,9,9,11,7,5
총범죄,강력범죄,방화,금융기관,8,4,3,-,6,2,4,4,2,5,1,5
총범죄,강력범죄,방화,의료기관,17,12,7,16,17,9,8,20,12,13,12,15
총범죄,강력범죄,방화,종교기관,13,16,18,16,10,14,14,14,7,13,8,2
총범죄,강력범죄,방화,산야,23,9,17,11,10,9,11,17,29,13,15,15
총범죄,강력범죄,방화,해상,2,1,5,1,3,2,2,212,1,2,5,4
총범죄,강력범죄,방화,부대,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,방화,구금장소,-,-,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,방화,공지,2,-,2,-,2,1,-,1,5,-,-,2
총범죄,강력범죄,방화,주차장,69,55,70,47,30,34,35,51,40,33,36,32
총범죄,강력범죄,방화,공중화장실,7,6,22,24,2,4,6,18,11,9,9,8
총범죄,강력범죄,방화,PC방,3,2,-,2,1,1,-,-,2,2,-,3
총범죄,강력범죄,방화,기타,545,840,153,545,605,547,510,139,93,75,76,93
총범죄,절도범죄,소계,아파트 연립다세대,19657,14800,22706,14333,11042,8774,7036,11515,14344,16697,16482,17196
총범죄,절도범죄,소계,단독주택,26411,20401,30221,19515,15565,13226,9044,11542,11448,10196,8535,8117
총범죄,절도범죄,소계,고속도로,122,128,179,177,133,144,144,164,181,161,99,115
총범죄,절도범죄,소계,노상,46213,40448,65598,49527,45307,39355,36798,39952,45539,46861,46374,51945
총범죄,절도범죄,소계,백화점,1500,1493,2409,1828,1928,1990,1816,2599,3187,2695,2142,2274
총범죄,절도범죄,소계,슈퍼마켓,3875,3475,6400,4718,5080,4890,4571,6279,7673,9273,9920,11703
총범죄,절도범죄,소계,편의점,2952,2975,5083,4579,4351,4151,4160,5169,5853,5944,6143,6994
총범죄,절도범죄,소계,대형할인매장,2947,2757,2992,1966,2170,2104,1767,2413,2693,3065,3350,3536
총범죄,절도범죄,소계,상점,11289,9568,16865,9520,8850,9051,7787,13107,14506,13629,15031,17550
총범죄,절도범죄,소계,시장노점,3094,3131,5237,2998,2475,2311,1803,4099,4677,3951,3970,3927
총범죄,절도범죄,소계,숙박업소 목욕탕,8537,10346,15334,6736,5165,4409,3558,6253,6140,4325,2666,2738
총범죄,절도범죄,소계,유흥접객업소,13686,13331,22647,13952,12370,11738,9984,15443,15699,12641,7116,8323
총범죄,절도범죄,소계,사무실,6604,4823,6689,6247,5462,3947,3091,3560,3230,3323,2282,2146
총범죄,절도범죄,소계,공장,2909,2139,2658,2412,1715,1075,1022,1200,1064,1264,972,1123
총범죄,절도범죄,소계,공사장광산,3477,2834,4277,2384,1890,1400,1309,1799,1604,1175,1205,1207
총범죄,절도범죄,소계,창고,1927,1493,2199,1424,1344,1163,883,1175,1321,1068,1179,1010
총범죄,절도범죄,소계,역대합실,803,902,1663,1172,1186,1051,983,1641,1775,1524,1100,1175
총범죄,절도범죄,소계,지하철,569,577,796,628,645,569,481,612,596,529,435,585
총범죄,절도범죄,소계,기타교통수단내,3456,3735,5953,4924,5414,3084,2756,4937,4073,3767,2840,2924
총범죄,절도범죄,소계,흥행장,622,574,921,458,473,416,370,670,760,486,364,426
총범죄,절도범죄,소계,유원지,1033,1533,2636,1618,1462,1301,1186,1914,2052,1585,1493,1771
총범죄,절도범죄,소계,학교,2084,3295,4251,2117,1664,1337,1005,1441,1774,852,1026,1250
총범죄,절도범죄,소계,금융기관,5666,5519,7967,6432,5819,4997,4276,5078,4659,3660,2881,2493
총범죄,절도범죄,소계,의료기관,2243,2165,3172,2077,1646,1592,1300,1619,1762,1362,1139,946
총범죄,절도범죄,소계,종교기관,1428,1134,1678,1258,1151,1090,1051,988,1026,605,440,574
총범죄,절도범죄,소계,산야,2982,2500,3721,2705,2522,2338,2276,2762,3264,3536,3514,3362
총범죄,절도범죄,소계,해상,74,67,54,40,116,83,91,97,67,94,71,46
총범죄,절도범죄,소계,부대,49,26,20,34,17,11,21,18,17,12,9,15
총범죄,절도범죄,소계,구금장소,-,-,1,1,1,5,5,4,2,4,3,4
총범죄,절도범죄,소계,공지,252,125,169,94,38,41,32,74,82,58,56,52
총범죄,절도범죄,소계,주차장,12518,9786,15992,11464,10325,8951,7117,9022,9796,10661,9891,10381
총범죄,절도범죄,소계,공중화장실,336,463,1037,462,483,439,531,986,1083,887,727,703
총범죄,절도범죄,소계,PC방,2867,3415,5457,2987,2592,2365,1864,2996,3026,2051,1253,994
총범죄,절도범죄,소계,기타,89180,120502,21361,85435,85452,63639,63639,15681,11984,11576,11701,14665
총범죄,폭력범죄,소계,아파트 연립다세대,15507,13206,22405,16774,21108,22274,21180,36459,42880,41192,43041,41558
총범죄,폭력범죄,소계,단독주택,14865,13668,22712,15930,19272,18764,16413,26393,27895,25308,24346,23092
총범죄,폭력범죄,소계,고속도로,292,236,317,273,433,475,330,335,385,394,379,395
총범죄,폭력범죄,소계,노상,92329,76985,127392,109581,109150,109193,105950,109352,106735,97005,81460,86637
총범죄,폭력범죄,소계,백화점,149,118,184,139,127,113,147,214,192,172,125,181
총범죄,폭력범죄,소계,슈퍼마켓,767,642,1161,595,544,522,496,943,895,930,808,768
총범죄,폭력범죄,소계,편의점,1207,1197,2172,1617,1543,1659,1614,2501,2448,2368,2071,2167
총범죄,폭력범죄,소계,대형할인매장,173,127,184,93,72,71,80,161,183,155,146,148
총범죄,폭력범죄,소계,상점,4024,2722,4418,2554,2331,2385,2139,3965,3783,3596,3142,3530
총범죄,폭력범죄,소계,시장노점,3018,2037,3204,1616,1404,1244,1267,3297,3359,2851,2392,2366
총범죄,폭력범죄,소계,숙박업소 목욕탕,4344,3370,5265,2836,2462,2418,2449,5098,4984,4584,5306,5015
총범죄,폭력범죄,소계,유흥접객업소,28931,22776,36681,24774,21277,20755,21112,36332,36025,30762,16823,22795
총범죄,폭력범죄,소계,사무실,7887,6944,8722,7288,6849,6430,6012,7418,7256,6617,5946,5479
총범죄,폭력범죄,소계,공장,1361,1207,1597,1239,1257,1184,1036,1410,1348,1284,1279,1176
총범죄,폭력범죄,소계,공사장광산,986,852,1225,877,803,953,992,1345,1251,1169,1125,1146
총범죄,폭력범죄,소계,창고,165,122,193,163,174,145,176,219,223,241,235,204
총범죄,폭력범죄,소계,역대합실,1146,959,1471,859,702,711,800,1601,1568,1309,1105,1235
총범죄,폭력범죄,소계,지하철,334,232,436,307,221,294,323,680,677,529,450,568
총범죄,폭력범죄,소계,기타교통수단내,6821,5737,10220,1717,1621,1675,1839,4166,4149,3902,3809,3821
총범죄,폭력범죄,소계,흥행장,277,243,392,186,166,182,182,295,316,257,180,258
총범죄,폭력범죄,소계,유원지,2137,1949,2687,2306,2248,2101,1926,2218,2299,1876,1835,1827
총범죄,폭력범죄,소계,학교,2110,2628,2177,1551,1475,1412,1513,1859,1962,968,1194,1553
총범죄,폭력범죄,소계,금융기관,297,211,380,234,251,199,179,297,308,266,225,249
총범죄,폭력범죄,소계,의료기관,1764,1526,2370,1921,1793,1818,1729,2524,2522,2194,1917,1823
총범죄,폭력범죄,소계,종교기관,656,581,783,715,622,514,631,1086,834,501,463,444
총범죄,폭력범죄,소계,산야,1519,1422,1772,1587,1600,1606,1559,1705,1853,1953,1963,1866
총범죄,폭력범죄,소계,해상,214,268,168,153,194,166,187,228,186,214,122,125
총범죄,폭력범죄,소계,부대,72,46,35,74,45,41,48,73,74,73,56,110
총범죄,폭력범죄,소계,구금장소,8,10,9,20,41,47,46,45,48,43,52,50
총범죄,폭력범죄,소계,공지,158,120,95,59,37,49,28,64,61,44,40,35
총범죄,폭력범죄,소계,주차장,10189,7355,12482,9494,9211,9345,9410,11566,11980,12190,11227,11213
총범죄,폭력범죄,소계,공중화장실,487,448,630,216,203,232,211,532,580,474,363,454
총범죄,폭력범죄,소계,PC방,1063,814,1164,576,565,651,547,996,896,728,546,497
총범죄,폭력범죄,소계,기타,106688,141821,19085,81755,96146,99766,90535,22234,17758,19619,18490,22501
총범죄,폭력범죄,상해,아파트 연립다세대,4049,3375,4525,3373,3564,3966,3712,4903,5082,4657,4876,4160
총범죄,폭력범죄,상해,단독주택,3977,3373,4475,3265,3385,3559,3000,3856,3557,3240,3014,2570
총범죄,폭력범죄,상해,고속도로,76,50,65,48,47,40,46,42,52,55,50,35
총범죄,폭력범죄,상해,노상,19830,15615,22452,18320,16716,16759,14833,13802,12696,11451,9761,9150
총범죄,폭력범죄,상해,백화점,52,42,51,33,41,24,27,20,21,20,18,13
총범죄,폭력범죄,상해,슈퍼마켓,160,133,227,110,102,102,93,119,108,108,90,88
총범죄,폭력범죄,상해,편의점,234,189,351,218,194,188,159,236,191,184,157,126
총범죄,폭력범죄,상해,대형할인매장,57,33,37,28,16,16,12,25,30,13,15,12
총범죄,폭력범죄,상해,상점,880,583,791,471,395,452,373,468,431,416,347,339
총범죄,폭력범죄,상해,시장노점,713,499,631,374,341,299,259,426,418,386,290,248
총범죄,폭력범죄,상해,숙박업소 목욕탕,1132,816,1048,653,497,523,492,741,704,586,696,581
총범죄,폭력범죄,상해,유흥접객업소,7677,5823,8101,5511,4498,5128,4779,6685,6539,5527,3378,3997
총범죄,폭력범죄,상해,사무실,2509,2073,2312,1912,1727,1608,1386,1450,1331,1212,1049,853
총범죄,폭력범죄,상해,공장,509,464,576,440,442,419,388,407,336,308,336,253
총범죄,폭력범죄,상해,공사장광산,296,277,353,251,251,277,261,319,253,231,228,191
총범죄,폭력범죄,상해,창고,42,37,44,38,30,33,30,42,33,38,40,33
총범죄,폭력범죄,상해,역대합실,232,193,228,181,128,131,134,174,162,147,120,118
총범죄,폭력범죄,상해,지하철,74,47,59,43,21,24,28,58,54,31,37,29
총범죄,폭력범죄,상해,기타교통수단내,1752,1314,2056,294,246,233,222,306,345,250,204,152
총범죄,폭력범죄,상해,흥행장,91,77,86,48,31,42,45,65,47,38,26,38
총범죄,폭력범죄,상해,유원지,565,491,600,514,499,496,414,411,366,326,303,280
총범죄,폭력범죄,상해,학교,712,644,606,484,471,480,504,525,527,220,287,411
총범죄,폭력범죄,상해,금융기관,37,23,52,20,24,17,14,22,22,22,12,13
총범죄,폭력범죄,상해,의료기관,523,456,626,539,482,412,380,441,402,351,330,323
총범죄,폭력범죄,상해,종교기관,171,154,187,124,144,102,144,187,116,73,60,61
총범죄,폭력범죄,상해,산야,262,212,231,200,190,211,194,124,138,158,147,130
총범죄,폭력범죄,상해,해상,25,33,19,20,32,35,35,34,25,23,23,22
총범죄,폭력범죄,상해,부대,12,14,9,14,13,9,4,10,10,2,8,14
총범죄,폭력범죄,상해,구금장소,2,4,2,4,10,10,5,10,9,11,8,5
총범죄,폭력범죄,상해,공지,39,22,15,15,6,9,8,7,7,9,4,6
총범죄,폭력범죄,상해,주차장,1097,834,1201,873,811,825,760,901,817,747,626,592
총범죄,폭력범죄,상해,공중화장실,108,102,126,46,53,54,40,75,77,60,34,51
총범죄,폭력범죄,상해,PC방,236,135,178,78,80,77,74,80,94,78,67,53
총범죄,폭력범죄,상해,기타,19075,24205,3564,11739,12518,13468,11756,2795,1858,1926,1812,1859
총범죄,폭력범죄,폭행,아파트 연립다세대,5864,5078,10220,7373,10608,12523,11825,21747,25179,23335,23656,23017
총범죄,폭력범죄,폭행,단독주택,5146,5024,9934,6344,8753,9647,8302,14760,15290,13417,12716,12150
총범죄,폭력범죄,폭행,고속도로,137,111,159,111,135,120,131,163,182,184,206,190
총범죄,폭력범죄,폭행,노상,36848,32285,58072,52278,54497,58794,58348,61152,58944,51704,41284,45258
