대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,실화 및 업무상실화죄,한국인,군인,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,실화 및 업무상실화죄,외국인,소계,3,2,-,2,3,3,3,2,4,10,7,6,7,13,9,11,15
형법범,기타형법범,실화 및 업무상실화죄,외국인,미국인,1,2,-,-,3,2,-,-,2,1,1,1,1,1,2,1,-
형법범,기타형법범,실화 및 업무상실화죄,외국인,중국인,2,-,-,2,-,1,3,2,2,8,6,5,5,12,7,10,15
형법범,기타형법범,실화 및 업무상실화죄,외국인,일본인,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
형법범,기타형법범,실화 및 업무상실화죄,기타외국인,소계,1,3,5,9,2,1,3,3,2,3,1,-,7,4,4,11,12
형법범,기타형법범,일수와 수리에 관한 죄,한국인,소계,16,19,13,18,22,19,15,30,17,7,14,16,16,16,16,4,17
형법범,기타형법범,일수와 수리에 관한 죄,한국인,민간인,16,19,13,18,22,19,15,30,17,7,14,16,16,16,16,4,17
형법범,기타형법범,교통 방해의 죄,한국인,소계,1060,910,1042,1006,1206,1042,1116,1270,1040,1702,989,1062,1250,1512,1577,1880,1525
형법범,기타형법범,교통 방해의 죄,한국인,민간인,1060,910,1042,1006,1206,1042,1116,1270,1040,1702,989,1060,1249,1512,1577,1880,1523
형법범,기타형법범,교통 방해의 죄,한국인,군인,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,2
형법범,기타형법범,교통 방해의 죄,외국인,소계,7,9,11,14,10,9,12,7,10,11,8,10,8,9,6,5,10
형법범,기타형법범,교통 방해의 죄,외국인,미국인,2,1,-,-,-,8,-,-,-,1,1,-,-,-,-,2,-
형법범,기타형법범,교통 방해의 죄,외국인,중국인,4,7,10,12,7,-,12,7,10,10,7,10,8,9,6,2,10
형법범,기타형법범,교통 방해의 죄,외국인,일본인,1,1,1,2,3,1,-,-,-,-,-,-,-,-,-,1,-
형법범,기타형법범,교통 방해의 죄,기타외국인,소계,10,19,15,16,11,13,7,6,10,10,13,4,11,9,3,10,14
형법범,기타형법범,음용수에 관한 죄,한국인,소계,34,40,21,22,13,59,43,40,28,34,16,32,32,40,28,31,34
형법범,기타형법범,음용수에 관한 죄,한국인,민간인,34,40,21,22,13,59,43,40,28,34,16,32,32,40,28,31,34
형법범,기타형법범,아편·몰핀에 관한 죄,한국인,소계,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,아편·몰핀에 관한 죄,한국인,민간인,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,과실사상의 죄,한국인,소계,5024,4908,5018,4928,4389,4553,4974,4798,4544,4816,5065,4620,5064,4957,4913,5282,5419
형법범,기타형법범,과실사상의 죄,한국인,민간인,5023,4907,5013,4926,4384,4553,4974,4798,4544,4816,5065,4620,5062,4956,4912,5282,5415
형법범,기타형법범,과실사상의 죄,한국인,군인,1,1,5,2,5,-,-,-,-,-,-,-,2,1,1,-,4
형법범,기타형법범,과실사상의 죄,외국인,소계,3,6,8,9,2,7,10,4,8,11,9,13,13,18,31,29,38
형법범,기타형법범,과실사상의 죄,외국인,미국인,1,3,3,3,-,6,4,2,1,1,1,5,2,4,6,9,7
형법범,기타형법범,과실사상의 죄,외국인,중국인,2,2,4,5,2,1,6,2,7,10,8,8,10,14,24,19,31
형법범,기타형법범,과실사상의 죄,외국인,일본인,-,1,1,1,-,-,-,-,-,-,-,-,1,-,1,1,-
형법범,기타형법범,과실사상의 죄,기타외국인,소계,7,7,6,3,3,2,2,3,4,8,9,12,9,8,6,12,26
형법범,기타형법범,낙태의 죄,한국인,소계,34,37,18,34,43,61,69,70,41,34,48,47,56,33,53,40,103
형법범,기타형법범,낙태의 죄,한국인,민간인,34,37,18,34,43,61,69,70,41,34,48,47,56,33,53,40,103
형법범,기타형법범,낙태의 죄,기타외국인,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
형법범,기타형법범,유기의 죄,한국인,소계,97,98,94,91,90,142,121,145,102,125,211,156,134,165,140,134,121
형법범,기타형법범,유기의 죄,한국인,민간인,97,98,94,91,90,142,121,145,102,125,211,156,134,164,140,134,121
형법범,기타형법범,유기의 죄,한국인,군인,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,유기의 죄,외국인,소계,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,2,1
형법범,기타형법범,유기의 죄,외국인,미국인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
형법범,기타형법범,유기의 죄,외국인,중국인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1
형법범,기타형법범,유기의 죄,외국인,일본인,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
형법범,기타형법범,유기의 죄,기타외국인,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
형법범,기타형법범,명예에 관한 죄,한국인,소계,4048,4158,4061,4142,4337,6568,7223,7667,7434,7552,10100,11533,11895,12905,15221,17048,16806
형법범,기타형법범,명예에 관한 죄,한국인,민간인,4047,4157,4060,4140,4337,6567,7222,7665,7432,7552,10093,11530,11892,12901,15216,17038,16801
형법범,기타형법범,명예에 관한 죄,한국인,군인,1,1,1,2,-,1,1,2,2,-,7,3,3,4,5,10,5
형법범,기타형법범,명예에 관한 죄,외국인,소계,5,-,1,3,4,2,6,8,12,8,5,4,6,14,24,20,29
형법범,기타형법범,명예에 관한 죄,외국인,미국인,3,-,1,2,3,1,4,4,7,5,2,3,5,4,8,7,14
형법범,기타형법범,명예에 관한 죄,외국인,중국인,-,-,-,-,1,-,1,4,3,3,1,1,-,5,15,12,14
형법범,기타형법범,명예에 관한 죄,외국인,일본인,2,-,-,1,-,1,1,-,2,-,2,-,1,5,1,1,1
형법범,기타형법범,명예에 관한 죄,기타외국인,소계,-,-,1,-,1,1,3,2,10,13,6,4,8,6,3,12,11
형법범,기타형법범,신용·업무와 경매에 관한 죄,한국인,소계,4588,4848,4891,5644,5821,7757,8405,9375,10593,10417,12061,14123,16917,20706,22008,24450,20799
형법범,기타형법범,신용·업무와 경매에 관한 죄,한국인,민간인,4588,4848,4891,5644,5821,7757,8405,9375,10592,10417,12057,14114,16915,20701,22008,24447,20792
형법범,기타형법범,신용·업무와 경매에 관한 죄,한국인,군인,-,-,-,-,-,-,-,-,1,-,4,9,2,5,-,3,7
형법범,기타형법범,신용·업무와 경매에 관한 죄,외국인,소계,3,2,4,32,2,5,8,5,7,11,21,24,19,56,139,150,128
형법범,기타형법범,신용·업무와 경매에 관한 죄,외국인,미국인,2,2,-,2,1,1,7,-,3,1,8,2,3,6,8,7,14
형법범,기타형법범,신용·업무와 경매에 관한 죄,외국인,중국인,1,-,4,28,1,2,1,4,2,8,10,19,15,48,130,139,114
형법범,기타형법범,신용·업무와 경매에 관한 죄,외국인,일본인,-,-,-,2,-,2,-,1,2,2,3,3,1,2,1,4,-
형법범,기타형법범,신용·업무와 경매에 관한 죄,기타외국인,소계,-,18,-,-,1,1,-,3,2,4,7,13,26,20,23,26,41
형법범,기타형법범,비밀침해죄,한국인,소계,6,6,8,10,2,9,-,13,14,7,28,24,45,39,44,42,51
형법범,기타형법범,비밀침해죄,한국인,민간인,6,6,8,10,2,9,9,13,14,7,28,24,45,39,44,42,51
형법범,기타형법범,주거침입의 죄,한국인,소계,1046,914,1290,1267,1463,1883,1776,1682,1626,1564,2107,2417,4463,5351,5929,6250,5898
형법범,기타형법범,주거침입의 죄,한국인,민간인,1044,914,1290,1266,1463,1883,1776,1682,1626,1564,2106,2417,4462,5350,5926,6249,5895
형법범,기타형법범,주거침입의 죄,한국인,군인,2,-,-,1,-,-,-,-,-,-,1,-,1,1,3,1,3
형법범,기타형법범,주거침입의 죄,외국인,소계,-,-,1,-,1,-,3,2,3,2,5,3,8,16,49,35,58
형법범,기타형법범,주거침입의 죄,외국인,미국인,-,-,1,-,1,-,2,1,2,1,2,1,-,4,8,4,11
형법범,기타형법범,주거침입의 죄,외국인,중국인,-,-,-,-,-,-,1,1,1,1,3,2,8,11,38,29,45
형법범,기타형법범,주거침입의 죄,외국인,일본인,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,2
형법범,기타형법범,주거침입의 죄,기타외국인,소계,-,-,-,-,1,1,-,5,4,5,3,3,16,22,20,19,31
형법범,기타형법범,권리행사를 방해하는 죄,한국인,소계,2420,2853,3178,3765,5346,5905,4661,4271,3730,3578,4830,4950,5787,5384,4955,5701,5177
형법범,기타형법범,권리행사를 방해하는 죄,한국인,민간인,2419,2852,3177,3764,5342,5903,4660,4269,3729,3578,4821,4948,5784,5381,4952,5699,5172
형법범,기타형법범,권리행사를 방해하는 죄,한국인,군인,1,1,1,1,4,2,1,2,1,-,9,2,3,3,3,2,5
형법범,기타형법범,권리행사를 방해하는 죄,외국인,소계,1,2,-,3,4,1,1,1,-,3,-,2,1,2,-,5,9
형법범,기타형법범,권리행사를 방해하는 죄,외국인,미국인,1,1,-,1,1,-,-,-,-,1,-,-,1,2,-,5,3
형법범,기타형법범,권리행사를 방해하는 죄,외국인,중국인,-,1,-,2,2,-,1,1,-,-,-,-,-,-,-,-,4
형법범,기타형법범,권리행사를 방해하는 죄,외국인,일본인,-,-,-,-,1,1,-,-,-,2,-,2,-,-,-,-,2
형법범,기타형법범,권리행사를 방해하는 죄,기타외국인,소계,-,-,2,-,-,-,4,-,-,1,5,3,2,1,-,-,4
형법범,기타형법범,인질강요,한국인,소계,-,-,-,2,-,1,-,-,2,-,3,-,1,-,3,-,-
형법범,기타형법범,인질강요,한국인,민간인,-,-,-,2,-,1,-,-,2,-,3,-,1,-,3,-,-
형법범,기타형법범,인질상해(치상),한국인,소계,-,-,-,-,-,6,-,-,-,-,-,4,1,1,-,-,1
형법범,기타형법범,인질상해(치상),한국인,민간인,-,-,-,-,-,6,-,-,-,-,-,4,1,1,-,-,1
형법범,기타형법범,인질살해(치사),한국인,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,인질살해(치사),한국인,민간인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,기타,한국인,소계,-,-,-,-,-,-,-,-,-,-,146,61,71,432,451,15,5
형법범,기타형법범,기타,한국인,민간인,-,-,-,-,-,-,-,-,-,-,146,61,71,432,451,15,5
형법범,기타형법범,기타,외국인,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
형법범,기타형법범,기타,외국인,중국인,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
형법범,기타형법범,기타,기타외국인,소계,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-
특별법범,,,한국인,소계,805069,806106,856574,960952,1040582,977972,968371,1057359,1090649,1047940,1220759,986030,962333,1074183,1262224,1160054,943238
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
특별법범,,,한국인,민간인,804746,805696,856128,960501,1040127,977745,968296,1057298,1090577,1047885,1219994,985467,961489,1073692,1261675,1159442,942558
특별법범,,,한국인,군인,323,410,446,451,455,227,75,61,72,55,765,563,484,491,549,612,680
특별법범,,,외국인,소계,1169,941,934,947,892,1019,931,1155,1297,1438,2133,1728,1761,2259,3494,5320,5160
특별법범,,,외국인,미국인,881,696,640,651,560,293,446,496,579,566,551,396,358,338,333,429,616
특별법범,,,외국인,중국인,207,196,232,233,246,637,378,568,639,807,1500,1288,1333,1853,3114,4840,4493
특별법범,,,외국인,일본인,81,49,62,63,86,89,107,91,79,65,82,44,70,68,47,51,51
특별법범,,,기타외국인,소계,140,99,145,179,315,325,392,550,731,959,1902,1529,1103,1752,2627,3541,3464
